,Bairro,latitude,longitude,casos
0,Aflitos,9110884.0,290992.0,0
1,Afogados,9106661.8,289910.65,0
2,Água Fria,9113343.0,290787.7,0
3,Alto do Mandu,9112712.9,287498.0,0
4,Alto José Bonifácio,9113775.0,289181.0,0
5,Alto José do Pinho,9112846.0,289698.0,0
6,Alto Sta Terezinha,9113502.0,289671.0,0
7,Apipucos,9113095.0,286390.0,0
8,Areias,9104782.0,287566.7,0
9,Arruda,9112449.1,291553.7,0
10,Barro,9104647.9,285112.8,0
11,Beberibe,9114684.0,290898.0,0
12,Boa Viagem,9101556.0,290274.0,1
13,Boa Vista,9108394.0,292017.0,0
14,Bomba do Hemetério,9112839.1,290413.0,0
15,Bongi,9107910.4,288238.4,0
16,Brasília Teimosa,9106073.0,292947.0,0
17,Brejo da Guabiraba,9116097.0,287054.0,0
18,Brejo de Beberibe,9115386.1,287902.9,0
19,Cabanga,9106392.0,290894.3,0
20,Caçote,9104023.9,287032.9,0
21,Cajueiro,9113888.0,292172.0,0
22,Campina do Barreto,9113399.0,292574.0,0
23,Campo Grande,9111728.0,292874.0,0
24,Casa Amarela,9112482.0,288643.0,0
25,Casa Forte,9111470.0,288586.0,0
26,Caxangá,9111832.0,285184.0,0
27,Cidade Universitária,9109172.0,284920.0,0
28,Coelhos,9107816.0,291882.0,0
29,Cohab,9101433.0,284767.0,0
30,Coqueiral,9105465.0,283108.0,0
31,Cordeiro,9109547.0,287467.0,0
32,Córrego do Jenipapo,9114488.0,286627.0,0
33,Curado,9107651.0,283800.0,0
34,Derby,9108825.0,290723.0,0
35,Dois Irmãos,9114707.0,284762.0,0
36,Dois Unidos,9115967.0,289395.0,0
37,Encruzilhada,9111158.0,291613.0,0
38,Engenho do Meio,9108934.0,285940.0,0
39,Espinheiro,9110478.0,291571.0,0
40,Estância,9105647.0,287423.0,0
41,Fundão,9113575.6,291651.2,0
42,Graças,9110179.5,290528.0,0
43,Guabiraba,9120358.0,284635.0,0
44,Hipódromo,9111621.2,292022.4,0
45,Ibura,9101668.1,287104.4,0
46,Ilha do Leite,9107953.6,291260.0,0
47,Ilha do Retiro,9108164.9,290198.2,0
48,Ilha Joana Bezerra,9107504.0,290753.0,0
49,Imbiribeira,9103837.8,289440.3,0
50,Ipsep,9103015.3,288448.0,0
51,Iputinga,9110794.2,286487.9,0
52,Jaqueira,9111235.3,290316.6,0
53,Jardim São Paulo,9106260.1,285989.0,0
54,Jiquiá,9105794.0,288086.0,0
55,Jordão ,9100464.0,286239.0,0
56,Linha do Tiro,9114147.0,290008.0,0
57,Macaxeira,9113886.0,287156.0,0
58,Madalena,9109267.0,289691.0,0
59,Mangabeira,9112518.0,290270.0,0
60,Mangueira,9106721.0,288365.0,0
61,Monteiro,9112291.0,287425.0,0
62,Morro da Conceição,9113078.0,288997.0,0
63,Mustardinha,9107205.0,288581.0,0
64,Nova Descoberta,9115154.0,287233.0,0
65,Paissandu,9108269.0,290754.0,0
66,Parnamirim,9111464.0,289457.0,0
67,Passarinho,9117218.0,288021.0,0
68,Pau Ferro,9118853.0,282335.0,0
69,Peixinhoa,9113220.0,293141.0,0
70,Pina,9104566.0,291222.0,0
71,Poço,9111320.0,287974.0,0
72,Ponto de Parada,9111936.0,291363.0,0
73,Porto da Madeira,9114446.0,291875.0,0
74,Prado,9108586.0,289083.0,0
75,Recife,9108963.5,293824.9,0
76,Rosarinho,9111653.0,290839.0,0
77,San Martin,9107439.0,287447.0,0
78,Sancho,9105834.0,283826.0,0
79,Santana,9110875.0,288843.0,0
80,Santo Amaro,9109594.0,292657.0,0
81,Santo Antonio,9108074.0,293047.0,0
82,São José,9107439.0,292735.0,0
83,Sítio dos Pintos,9113960.0,284132.0,0
84,Soledade,9109031.0,291653.0,0
85,Tamarineira,9111623.0,290489.0,0
86,Tejipió,9105574.0,284554.0,0
87,Torre ,9110512.0,289784.0,0
88,Torreão,9110768.0,292379.0,0
89,Torrões,9108525.0,286617.0,0
90,Totó,9106121.0,283026.0,0
91,Várzea,9110202.0,282982.0,0
92,Vasco da Gama,9113906.0,288489.0,0
93,Zumbi,9109277.0,288621.0,0
