Cidade,CD_GEOCMU,latitude,longitude
ABREU E LIMA,2600054,-7.8793096,-35.0193401
AFOGADOS DA INGAZEIRA,2600104,-7.7371035,-37.6200038
AFRÂNIO,2600203,-8.6189291,-41.0053953
AGRESTINA,2600302,-8.4565241,-35.9453123
ÁGUA PRETA,2600401,-8.7288143,-35.4817762
ÁGUAS BELAS,2600500,-9.0870441,-37.0386479
ALAGOINHA,2600609,-8.4939783,-36.7554298
ALIANÇA,2600708,-7.6027950,-35.1931146
ALTINHO,2600807,-8.4899187,-36.0986453
AMARAJI,2600906,-8.3653802,-35.4657368
ANGELIM,2601003,-8.8915419,-36.2767437
ARAÇOIABA,2601052,-7.7932367,-35.0761374
ARARIPINA,2601102,-7.6079485,-40.4848041
ARCOVERDE,2601201,-8.3848422,-37.0103309
BARRA DE GUABIRABA,2601300,-8.4165643,-35.6327752
BARREIROS,2601409,-8.8201947,-35.2586301
BELÉM DE MARIA,2601508,-8.6050593,-35.8150595
BELÉM DO SÃO FRANCISCO,2601607,-8.5835641,-38.9819398
BELO JARDIM,2601706,-8.2589280,-36.4051833
BETÂNIA,2601805,-8.2652924,-37.9876529
BEZERROS,2601904,-8.2179088,-35.7824055
BODOCÓ,2602001,-7.6559063,-39.9647456
BOM CONSELHO,2602100,-9.2026826,-36.6840129
BOM JARDIM,2602209,-7.7855417,-35.5874439
BONITO,2602308,-8.4955249,-35.7075333
BREJÃO,2602407,-9.0267482,-36.5298698
BREJINHO,2602506,-7.3365550,-37.3207474
BREJO DA MADRE DE DEUS,2602605,-8.0756433,-36.2814129
BUENOS AIRES,2602704,-7.7379192,-35.3472393
BUÍQUE,2602803,-8.6490403,-37.1208689
CABO DE SANTO AGOSTINHO,2602902,-8.2694807,-35.0848124
CABROBÓ,2603009,-8.3865510,-39.3293523
CACHOEIRINHA,2603108,-8.4849282,-36.2909447
CAETÉS,2603207,-8.8039508,-36.6591871
CALÇADO,2603306,-8.7505754,-36.3217540
CALUMBI,2603405,-8.0039159,-38.0786829
CAMARAGIBE,2603454,-7.9868344,-34.9957625
CAMOCIM DE SÃO FÉLIX,2603504,-8.3494382,-35.7718858
CAMUTANGA,2603603,-7.4331229,-35.2995663
CANHOTINHO,2603702,-8.8932259,-36.1769041
CAPOEIRAS,2603801,-8.6870485,-36.5990636
CARNAÍBA,2603900,-7.7962302,-37.7271603
CARNAUBEIRA DA PENHA,2603926,-8.4091937,-38.7215319
CARPINA,2604007,-7.8195598,-35.3056012
CARUARU,2604106,-8.1799801,-36.0165881
CASINHAS,2604155,-7.7563806,-35.7213827
CATENDE,2604205,-8.6758579,-35.7304809
CEDRO,2604304,-7.7438233,-39.2037380
CHÃ DE ALEGRIA,2604403,-7.9993417,-35.2225675
CHÃ GRANDE,2604502,-8.2295234,-35.4739791
CONDADO,2604601,-7.5963130,-35.0986774
CORRENTES,2604700,-9.1147116,-36.3386790
CORTÊS,2604809,-8.4330139,-35.5307597
CUMARU,2604908,-8.0399527,-35.7207721
CUPIRA,2605004,-8.5830102,-35.9313760
CUSTÓDIA,2605103,-8.1738422,-37.6815546
DORMENTES,2605152,-8.4961974,-40.6202974
ESCADA,2605202,-8.3698173,-35.2645019
EXU,2605301,-7.5160809,-39.7481493
FEIRA NOVA,2605400,-7.9528934,-35.3832407
FERREIROS,2605509,-7.4768204,-35.2431413
FLORES,2605608,-7.9399232,-37.8947641
FLORESTA,2605707,-8.5665793,-38.3058221
FREI MIGUELINHO,2605806,-7.9350866,-35.8849962
GAMELEIRA,2605905,-8.6129304,-35.3926089
GARANHUNS,2606002,-8.9290883,-36.5011356
GLÓRIA DO GOITÁ,2606101,-8.0131493,-35.3393739
GOIANA,2606200,-7.5969751,-34.9424692
