,Data Atualização,Bairro,Latitude,Longitude
20,2020-03-05 22:12:48,Boa Viagem,-8.1018717,-34.8860824
21,2020-03-05 22:22:28,Boa Viagem,-8.1018717,-34.8860824
44,2020-03-12 11:44:08,Rosarinho,-8.036902999999999,-34.8982028
47,2020-03-12 12:55:49,Boa Viagem,-8.0976017,-34.8849182
48,2020-03-12 13:01:51,Boa Viagem,-8.0976017,-34.8849182
50,2020-03-12 15:27:51,Ilha do Retiro,-8.0625279,-34.909011
52,2020-03-12 15:54:37,Derby ,41.1579438,-8.629105299999999
64,2020-03-12 22:30:06,Graças,-8.0488959,-34.90201
66,2020-03-13 04:30:36,Curado,-8.0714652,-34.993023
79,,Centro,-8.3359534,-36.4213338
81,,Boa Viagem,-8.143286999999999,-34.907269
86,,Boa Viagem,-8.1410428,-34.9047045
89,,,,
93,,Boa Viagem,-8.115883199999999,-34.9003029
94,,Boa Viagem,-8.126401699999999,-34.9041164
98,,,-8.8137173,-36.954107
105,,Madalena,-8.0485039,-34.9106179
122,2020-03-15 08:57:05,Boa Viagem,-8.1210531,-34.899377
126,2020-03-15 10:54:54,Graças,-8.0364147,-34.9006358
134,2020-03-15 14:35:21,Parnamirim,-8.034459300000002,-34.9102024
147,2020-03-15 18:19:09,Graças,-8.0488959,-34.90201
148,2020-03-15 18:25:33,Graças,-8.0488959,-34.90201
177,2020-03-16 10:55:37,Dois Carneiros,-8.1134903,-34.9685782
178,2020-03-16 11:02:46,Brasília Teimosa,-8.0817409,-34.879689
185,2020-03-16 12:08:24,Boa Viagem,-8.1361284,-34.9017187
189,2020-03-16 12:21:44,Ramos,-22.8612161,-43.4522437
196,2020-03-16 11:30:34,Universitário,-8.270201499999999,-35.9649659
199,2020-03-16 15:30:55,Aflitos,-8.0401609,-34.9007487
214,2020-03-16 16:07:12,Rosarinho,-8.034488399999999,-34.8999321
239,2020-03-16 17:24:47,Candeias,-8.202334,-34.9249087
279,2020-03-16 22:09:47,Torre,-8.043201999999999,-34.909709
352,3/13/20 15:32,Boa Viagem,-8.141749599999999,-34.9071302
387,2020-03-17 15:14:11,Imbiribeira,-8.0905284,-34.91039290000001
402,2020-03-17 15:59:38,Ouro Preto,-7.996724899999999,-34.8614819
426,2020-03-17 17:02:50,Casa Forte,-8.0297439,-34.9175164
442,2020-03-17 17:48:28,Centro,-9.397469,-40.4991815
501,,Espinheiro,-8.0457551,-34.8926956
510,2020-03-19 14:16:57,Ouro Preto,-7.9939191,-34.8661773
521,,Zumbi,-8.0497655,-34.9167284
563,2020-03-18 05:17:41,Torre,-8.0424314,-34.910378
817,,Jardim Oceania,-7.083967599999999,-34.8396811
818,,Boa Viagem,-8.148207300000001,-34.9072716
