,date,state,place_type,confirmed,deaths,is_last,estimated_population_2019,confirmed_per_100k_inhabitants
0,2020-07-18,SP,state,412027,19647,True,45919049.0,897.2899199999999
1,2020-07-17,SP,state,407415,19377,False,45919049.0,887.2461599999999
2,2020-07-16,SP,state,402048,19038,False,45919049.0,875.5582
3,2020-07-15,SP,state,393176,18640,False,45919049.0,856.23724
4,2020-07-14,SP,state,386607,18324,False,45919049.0,841.93163
5,2020-07-13,SP,state,374607,17907,False,45919049.0,815.7986900000001
6,2020-07-12,SP,state,371997,17848,False,45919049.0,810.11477
7,2020-07-11,SP,state,366890,17702,False,45919049.0,798.99303
8,2020-07-10,SP,state,359110,17442,False,45919049.0,782.05017
9,2020-07-09,SP,state,349715,17118,False,45919049.0,761.59025
10,2020-07-08,SP,state,341365,16788,False,45919049.0,743.40608
11,2020-07-07,SP,state,332708,16475,False,45919049.0,724.55333
12,2020-07-06,SP,state,323070,16134,False,45919049.0,703.56422
13,2020-07-05,SP,state,320179,16078,False,45919049.0,697.2683599999999
14,2020-07-04,SP,state,312530,15996,False,45919049.0,680.6107900000001
15,2020-07-03,SP,state,310517,15694,False,45919049.0,676.22698
16,2020-07-02,SP,state,302179,15351,False,45919049.0,658.06894
17,2020-07-01,SP,state,289935,15030,False,45919049.0,631.40463
18,2020-06-30,SP,state,281380,14763,False,45919049.0,612.77401
19,2020-06-29,SP,state,275145,14398,False,45919049.0,599.19577
20,2020-06-28,SP,state,271737,14338,False,45919049.0,591.7740200000001
21,2020-06-27,SP,state,265581,14263,False,45919049.0,578.36781
22,2020-06-26,SP,state,258508,13966,False,45919049.0,562.96462
23,2020-06-25,SP,state,248587,13759,False,45919049.0,541.35921
24,2020-06-24,SP,state,238822,13352,False,45919049.0,520.09352
25,2020-06-23,SP,state,229475,13068,False,45919049.0,499.73814000000004
26,2020-06-22,SP,state,221973,12634,False,45919049.0,483.40069000000005
27,2020-06-21,SP,state,219185,12588,False,45919049.0,477.32914000000005
28,2020-06-20,SP,state,215793,12494,False,45919049.0,469.94222
29,2020-06-19,SP,state,211658,12232,False,45919049.0,460.93725
30,2020-06-18,SP,state,192628,11846,False,45919049.0,419.49475
31,2020-06-17,SP,state,191517,11521,False,45919049.0,417.07527999999996
32,2020-06-16,SP,state,190285,11132,False,45919049.0,414.39229
33,2020-06-15,SP,state,181460,10767,False,45919049.0,395.17368999999997
34,2020-06-14,SP,state,178202,10694,False,45919049.0,388.07858999999996
35,2020-06-13,SP,state,172875,10581,False,45919049.0,376.47774
36,2020-06-12,SP,state,167900,10368,False,45919049.0,365.64346
37,2020-06-11,SP,state,162520,10145,False,45919049.0,353.92719
38,2020-06-10,SP,state,156316,9862,False,45919049.0,340.41646000000003
39,2020-06-09,SP,state,150138,9522,False,45919049.0,326.96235
40,2020-06-08,SP,state,144593,9188,False,45919049.0,314.88675
41,2020-06-07,SP,state,143073,9145,False,45919049.0,311.57657
42,2020-06-06,SP,state,140549,9058,False,45919049.0,306.07995
43,2020-06-05,SP,state,134565,8842,False,45919049.0,293.04832000000005
44,2020-06-04,SP,state,129200,8561,False,45919049.0,281.36471
45,2020-06-03,SP,state,123483,8276,False,45919049.0,268.91454
46,2020-06-02,SP,state,118295,7994,False,45919049.0,257.6164
47,2020-06-01,SP,state,111296,7667,False,45919049.0,242.37436
48,2020-05-31,SP,state,109698,7615,False,45919049.0,238.89432000000002
49,2020-05-30,SP,state,107142,7532,False,45919049.0,233.328
50,2020-05-29,SP,state,101556,7275,False,45919049.0,221.16312000000002
51,2020-05-28,SP,state,95865,6980,False,45919049.0,208.76957
52,2020-05-27,SP,state,89483,6712,False,45919049.0,194.8712
53,2020-05-26,SP,state,86017,6423,False,45919049.0,187.32313
54,2020-05-25,SP,state,83625,6220,False,45919049.0,182.11396000000002
55,2020-05-24,SP,state,82161,6163,False,45919049.0,178.92574
56,2020-05-23,SP,state,80558,6045,False,45919049.0,175.43482
57,2020-05-22,SP,state,76871,5773,False,45919049.0,167.40547
58,2020-05-21,SP,state,73739,5558,False,45919049.0,160.58477
59,2020-05-20,SP,state,69859,5363,False,45919049.0,152.13512
60,2020-05-19,SP,state,65995,5147,False,45919049.0,143.72031
61,2020-05-18,SP,state,63066,4823,False,45919049.0,137.34169
62,2020-05-17,SP,state,62345,4782,False,45919049.0,135.77154
63,2020-05-16,SP,state,61183,4688,False,45919049.0,133.241
64,2020-05-15,SP,state,58378,4501,False,45919049.0,127.13242
65,2020-05-14,SP,state,54286,4315,False,45919049.0,118.22108999999999
66,2020-05-13,SP,state,51097,4118,False,45919049.0,111.27626000000001
67,2020-05-12,SP,state,47719,3949,False,45919049.0,103.91984000000001
68,2020-05-11,SP,state,46131,3743,False,45919049.0,100.46158
69,2020-05-10,SP,state,45444,3709,False,45919049.0,98.96546
70,2020-05-09,SP,state,44411,3608,False,45919049.0,96.71585
71,2020-05-08,SP,state,41830,3416,False,45919049.0,91.09509
72,2020-05-07,SP,state,39928,3206,False,45919049.0,86.95302
73,2020-05-06,SP,state,37853,3045,False,45919049.0,82.4342
74,2020-05-05,SP,state,34053,2851,False,45919049.0,74.15876999999999
75,2020-05-04,SP,state,32187,2654,False,45919049.0,70.09509
76,2020-05-03,SP,state,31772,2627,False,45919049.0,69.19133000000001
77,2020-05-02,SP,state,31174,2586,False,45919049.0,67.88904000000001
78,2020-05-01,SP,state,30374,2511,False,45919049.0,66.14684
79,2020-04-30,SP,state,28698,2375,False,45919049.0,62.49694
