,date,state,city,confirmed,deaths,estimated_population_2019,confirmed_per_100k_inhabitants
0,2020-04-26,AL,Anadia,1,1,17545.0,5.69963
1,2020-04-26,AL,Arapiraca,4,0,231747.0,1.72602
2,2020-04-26,AL,Atalaia,1,0,47185.0,2.11932
3,2020-04-26,AL,Barra de Santo Antônio,1,0,15932.0,6.276680000000001
4,2020-04-26,AL,Boca da Mata,1,0,27281.0,3.66555
5,2020-04-26,AL,Capela,1,0,17053.0,5.86407
6,2020-04-26,AL,Delmiro Gouveia,1,0,52016.0,1.9224900000000003
7,2020-04-26,AL,Ibateguara,1,1,15616.0,6.40369
8,2020-04-26,AL,Importados/Indefinidos,10,2,,
9,2020-04-26,AL,Limoeiro de Anadia,1,1,28635.0,3.49223
10,2020-04-26,AL,Maceió,472,20,1018948.0,46.32229
11,2020-04-26,AL,Maragogi,2,0,32704.0,6.11546
12,2020-04-26,AL,Marechal Deodoro,12,2,51901.0,23.12094
13,2020-04-26,AL,Maribondo,2,1,13264.0,15.07841
14,2020-04-26,AL,Matriz de Camaragibe,1,1,24642.0,4.05811
15,2020-04-26,AL,Murici,13,0,28236.0,46.04052
16,2020-04-26,AL,Olho d'Água das Flores,1,0,21688.0,4.6108400000000005
17,2020-04-26,AL,Palmeira dos Índios,6,0,73218.0,8.19471
18,2020-04-26,AL,Paripueira,1,1,13176.0,7.5895600000000005
19,2020-04-26,AL,Piaçabuçu,2,0,17827.0,11.21894
20,2020-04-26,AL,Pilar,3,0,35111.0,8.54433
21,2020-04-26,AL,Porto Calvo,1,0,27165.0,3.6812099999999996
22,2020-04-26,AL,Porto Real do Colégio,1,0,20066.0,4.98355
23,2020-04-26,AL,Rio Largo,10,0,75120.0,13.312029999999998
24,2020-04-26,AL,Santa Luzia do Norte,1,0,7296.0,13.70614
25,2020-04-26,AL,São Miguel dos Campos,1,0,61251.0,1.63263
26,2020-04-26,AL,São Miguel dos Milagres,1,1,7951.0,12.57703
27,2020-04-26,AL,São Sebastião,1,0,34152.0,2.92809
28,2020-04-26,AL,Satuba,5,0,13828.0,36.15852
29,2020-04-26,AL,União dos Palmares,1,0,65611.0,1.52413
30,2020-04-26,AL,Viçosa,1,1,25733.0,3.88606
32,2020-04-26,AM,Amaturá,19,0,11536.0,164.7018
33,2020-04-26,AM,Anamã,1,0,13614.0,7.3453800000000005
34,2020-04-26,AM,Anori,18,0,21010.0,85.67349
35,2020-04-26,AM,Autazes,26,2,39565.0,65.71465
36,2020-04-26,AM,Barcelos,2,1,27502.0,7.2722
37,2020-04-26,AM,Benjamin Constant,18,0,42984.0,41.87605
