,date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,confirmed_per_100k_inhabitants
0,2020-07-18,AC,,state,17202,457,True,881935.0,1950.48388
1827,2020-07-18,AP,,state,33585,505,True,845731.0,3971.12084
3350,2020-07-18,AM,,state,90534,3129,True,4144597.0,2184.38608
9088,2020-07-18,AL,,state,49583,1381,True,3337357.0,1485.69662
17034,2020-07-18,DF,,state,81159,1075,True,3015268.0,2691.6015399999997
17413,2020-07-18,ES,,state,70131,2202,True,4018650.0,1745.1382899999999
24848,2020-07-18,CE,,state,146972,7178,True,9132078.0,1609.40369
41415,2020-07-18,GO,,state,40769,1086,True,7018354.0,580.89119
55183,2020-07-18,BA,,state,120238,2793,True,14873064.0,808.42791
82588,2020-07-18,MA,,state,106092,2676,True,7075181.0,1499.49521
99453,2020-07-17,MS,,state,16006,216,True,2778986.0,575.96548
104147,2020-07-18,PA,,state,137484,5523,True,8602865.0,1598.1187699999998
116692,2020-07-18,MT,,state,32766,1312,True,3484466.0,940.34495
124447,2020-07-18,MG,,state,90875,1964,True,21168791.0,429.28762
169183,2020-07-18,PB,,state,66971,1477,True,4018127.0,1666.7218300000002
183956,2020-07-18,PE,,state,78509,5928,True,9557071.0,821.4755299999999
199793,2020-07-18,PI,,state,39297,1100,True,3273227.0,1200.55835
213350,2020-07-17,RO,,state,29117,686,True,1777225.0,1638.3406699999998
216937,2020-07-18,PR,,state,53553,1308,True,11433957.0,468.36804000000006
241870,2020-07-17,RJ,,state,135230,11919,True,17264943.0,783.26352
251200,2020-07-17,RN,,state,43432,1572,True,3506853.0,1238.48932
261579,2020-07-17,RR,,state,25373,429,True,605761.0,4188.61564
263079,2020-07-18,SC,,state,52531,662,True,7164788.0,733.18289
284540,2020-07-18,SE,,state,43072,1111,True,2298696.0,1873.7579899999998
290352,2020-07-18,RS,,state,46847,1229,True,11377239.0,411.76071
319297,2020-07-17,TO,,state,17209,288,True,1572866.0,1094.11736
327060,2020-07-18,SP,,state,412027,19647,True,45919049.0,897.2899199999999
