,date,state,confirmed,deaths,is_last,estimated_population_2019,confirmed_per_100k_inhabitants
0,2020-05-07,TO,494,9,True,1572866.0,31.407629999999997
1,2020-05-06,TO,423,9,False,1572866.0,26.89358
2,2020-05-05,TO,351,9,False,1572866.0,22.31595
3,2020-05-04,TO,303,7,False,1572866.0,19.2642
4,2020-05-03,TO,267,6,False,1572866.0,16.975379999999998
5,2020-05-02,TO,246,4,False,1572866.0,15.640239999999999
6,2020-05-01,TO,191,4,False,1572866.0,12.14344
7,2020-04-30,TO,164,3,False,1572866.0,10.42683
8,2020-04-29,TO,137,3,False,1572866.0,8.71021
9,2020-04-28,TO,116,2,False,1572866.0,7.37507
10,2020-04-27,TO,79,2,False,1572866.0,5.02268
11,2020-04-26,TO,67,2,False,1572866.0,4.25974
12,2020-04-25,TO,58,2,False,1572866.0,3.6875400000000003
13,2020-04-24,TO,50,2,False,1572866.0,3.1789099999999997
14,2020-04-23,TO,43,2,False,1572866.0,2.73386
15,2020-04-22,TO,37,2,False,1572866.0,2.35239
16,2020-04-21,TO,36,2,False,1572866.0,2.28882
17,2020-04-20,TO,35,2,False,1572866.0,2.2252400000000003
18,2020-04-19,TO,34,1,False,1572866.0,2.16166
19,2020-04-18,TO,33,1,False,1572866.0,2.09808
20,2020-04-17,TO,32,1,False,1572866.0,2.0345
21,2020-04-16,TO,31,1,False,1572866.0,1.97092
22,2020-04-15,TO,29,1,False,1572866.0,1.8437700000000001
23,2020-04-14,TO,27,0,False,1572866.0,1.7166099999999997
24,2020-04-13,TO,26,0,False,1572866.0,1.65303
25,2020-04-12,TO,26,0,False,1572866.0,1.65303
26,2020-04-11,TO,25,0,False,1572866.0,1.58946
27,2020-04-10,TO,23,0,False,1572866.0,1.4623
28,2020-04-09,TO,23,0,False,1572866.0,1.4623
29,2020-04-08,TO,23,0,False,1572866.0,1.4623
30,2020-04-07,TO,19,0,False,1572866.0,1.20799
31,2020-04-06,TO,19,0,False,1572866.0,1.20799
32,2020-04-05,TO,17,0,False,1572866.0,1.08083
33,2020-04-04,TO,16,0,False,1572866.0,1.01725
34,2020-04-03,TO,13,0,False,1572866.0,0.82652
35,2020-04-02,TO,12,0,False,1572866.0,0.76294
36,2020-04-01,TO,12,0,False,1572866.0,0.76294
37,2020-03-31,TO,12,0,False,1572866.0,0.76294
38,2020-03-30,TO,11,0,False,1572866.0,0.69936
39,2020-03-29,TO,10,0,False,1572866.0,0.63578
40,2020-03-28,TO,9,0,False,1572866.0,0.5722
41,2020-03-27,TO,9,0,False,1572866.0,0.5722
42,2020-03-26,TO,8,0,False,1572866.0,0.50863
43,2020-03-25,TO,7,0,False,1572866.0,0.44505
44,2020-03-24,TO,7,0,False,1572866.0,0.44505
45,2020-03-23,TO,7,0,False,1572866.0,0.44505
46,2020-03-22,TO,5,0,False,1572866.0,0.31789
47,2020-03-21,TO,2,0,False,1572866.0,0.12716
48,2020-03-20,TO,1,0,False,1572866.0,0.06358
49,2020-03-19,TO,1,0,False,1572866.0,0.06358
50,2020-03-18,TO,1,0,False,1572866.0,0.06358
51,2020-05-08,RN,1919,87,True,3506853.0,54.721430000000005
52,2020-05-07,RN,1821,81,False,3506853.0,51.9269
53,2020-05-06,RN,1739,76,False,3506853.0,49.58862
54,2020-05-05,RN,1644,72,False,3506853.0,46.87964
55,2020-05-04,RN,1536,68,False,3506853.0,43.79995
56,2020-05-03,RN,1421,62,False,3506853.0,40.52066
57,2020-05-02,RN,1392,61,False,3506853.0,39.693709999999996
58,2020-05-01,RN,1366,59,False,3506853.0,38.9523
59,2020-04-30,RN,1297,56,False,3506853.0,36.98473
60,2020-04-29,RN,1177,56,False,3506853.0,33.56286
61,2020-04-28,RN,1086,54,False,3506853.0,30.967940000000002
62,2020-04-27,RN,857,48,False,3506853.0,24.43786
63,2020-04-26,RN,832,45,False,3506853.0,23.72498
64,2020-04-25,RN,825,44,False,3506853.0,23.525370000000002
65,2020-04-24,RN,781,40,False,3506853.0,22.27068
66,2020-04-23,RN,754,38,False,3506853.0,21.50076
67,2020-04-22,RN,708,34,False,3506853.0,20.18904
68,2020-04-21,RN,646,29,False,3506853.0,18.42107
69,2020-04-20,RN,608,28,False,3506853.0,17.33748
70,2020-04-19,RN,595,27,False,3506853.0,16.96678
71,2020-04-18,RN,561,26,False,3506853.0,15.99725
72,2020-04-17,RN,516,24,False,3506853.0,14.71405
73,2020-04-16,RN,463,23,False,3506853.0,13.202720000000001
74,2020-04-15,RN,400,20,False,3506853.0,11.406239999999999
75,2020-04-14,RN,399,19,False,3506853.0,11.37772
76,2020-04-13,RN,376,18,False,3506853.0,10.721860000000001
77,2020-04-12,RN,339,17,False,3506853.0,9.666789999999999
78,2020-04-11,RN,289,13,False,3506853.0,8.241010000000001
79,2020-04-10,RN,263,11,False,3506853.0,7.4996
80,2020-04-08,RN,261,11,False,3506853.0,7.44257
81,2020-04-07,RN,254,8,False,3506853.0,7.242960000000001
82,2020-04-05,RN,246,7,False,3506853.0,7.0148399999999995
83,2020-04-04,RN,215,6,False,3506853.0,6.13085
84,2020-04-03,RN,176,4,False,3506853.0,5.01874
85,2020-04-02,RN,106,2,False,3506853.0,3.02265
86,2020-04-01,RN,92,2,False,3506853.0,2.62343
87,2020-03-31,RN,82,1,False,3506853.0,2.33828
88,2020-03-30,RN,77,1,False,3506853.0,2.1957
89,2020-03-28,RN,68,1,False,3506853.0,1.9390599999999998
90,2020-03-27,RN,28,0,False,3506853.0,0.7984399999999999
91,2020-03-26,RN,19,0,False,3506853.0,0.5418
92,2020-03-25,RN,14,0,False,3506853.0,0.39921999999999996
93,2020-03-24,RN,14,0,False,3506853.0,0.39921999999999996
94,2020-03-22,RN,13,0,False,3506853.0,0.3707
95,2020-03-21,RN,9,0,False,3506853.0,0.25664000000000003
96,2020-03-20,RN,6,0,False,3506853.0,0.17109000000000002
97,2020-03-18,RN,1,0,False,3506853.0,0.02852
98,2020-03-16,RN,1,0,False,3506853.0,0.02852
99,2020-03-13,RN,1,0,False,3506853.0,0.02852
100,2020-03-12,RN,1,0,False,3506853.0,0.02852
101,2020-05-08,GO,1053,49,True,7018354.0,15.003520000000002
102,2020-05-07,GO,1027,44,False,7018354.0,14.63306
103,2020-05-06,GO,1024,45,False,7018354.0,14.590320000000002
104,2020-05-05,GO,922,38,False,7018354.0,13.13698
105,2020-05-04,GO,861,30,False,7018354.0,12.26783
106,2020-05-03,GO,850,30,False,7018354.0,12.1111
107,2020-05-02,GO,825,30,False,7018354.0,11.75489
108,2020-05-01,GO,808,29,False,7018354.0,11.51267
109,2020-04-30,GO,781,29,False,7018354.0,11.12797
110,2020-04-29,GO,705,27,False,7018354.0,10.04509
111,2020-04-28,GO,661,27,False,7018354.0,9.41816
112,2020-04-27,GO,616,26,False,7018354.0,8.77699
113,2020-04-26,GO,573,25,False,7018354.0,8.16431
114,2020-04-25,GO,506,25,False,7018354.0,7.20967
115,2020-04-24,GO,486,24,False,7018354.0,6.9247
116,2020-04-23,GO,453,23,False,7018354.0,6.4545
117,2020-04-22,GO,438,21,False,7018354.0,6.24078
118,2020-04-21,GO,421,19,False,7018354.0,5.9985599999999994
119,2020-04-20,GO,403,19,False,7018354.0,5.74209
120,2020-04-19,GO,393,18,False,7018354.0,5.5996
121,2020-04-18,GO,378,18,False,7018354.0,5.38588
