,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,21/03,2.0,,,,
2,22/03,2.0,,,,
3,23/03,2.0,,,,
4,24/03,8.0,,,,
5,25/03,8.0,,,,
6,26/03,10.0,,,,
7,27/03,12.0,,,,
8,28/03,16.0,,,,
9,29/03,16.0,,,,
10,30/03,16.0,,,,
11,31/03,16.0,,,,
12,01/04,26.0,,,,
13,02/04,30.0,,,,
14,03/04,37.0,,,,
15,04/04,42.0,,,,
16,05/04,42.0,,,,
17,06/04,42.0,,,,
18,07/04,49.0,,,,
19,08/04,52.0,,,,
20,09/04,63.0,,,,
21,10/04,75.0,,,,
22,11/04,79.0,,,,
23,12/04,83.0,,,,
24,13/04,113.0,,,,
25,14/04,114.0,,,,
26,15/04,142.0,,,,
27,16/04,164.0,,,,
28,17/04,201.0,,,,
29,18/04,222.0,,,,
30,19/04,244.0,,,,
31,20/04,247.0,,,,
32,21/04,280.0,,,,
33,22/04,297.0,,,,
34,23/04,304.0,,,,
35,24/04,345.0,,,,
36,25/04,401.0,,,,
37,26/04,407.0,,,,
38,27/04,425.0,,,,
39,28/04,425.0,,,,
40,29/04,426.0,,,,
41,30/04,519.0,,,,
0,01/05,538.650610590386,517.35949194993,559.9417292308419,506.088654561617,571.2125666191549
1,02/05,541.9858625599201,513.218235123924,570.753489995916,497.989573053412,585.982152066427
2,03/05,568.7310751188691,536.096958069938,601.3651921677999,518.821500035959,618.6406502017791
3,04/05,595.476287677818,557.241086713169,633.711488642468,537.000593958449,653.951981397188
4,05/05,622.2215002367681,576.843217102574,667.599783370961,552.821405059571,691.621595413965
5,06/05,648.9667127957171,595.137940211324,702.79548538011,566.642709272243,731.290716319191
6,07/05,675.7119253546659,612.326183060423,739.0976676489099,578.771797957404,772.652052751929
