,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,19/03,3.0,,,,
2,20/03,4.0,,,,
3,21/03,4.0,,,,
4,22/03,6.0,,,,
5,23/03,6.0,,,,
6,24/03,8.0,,,,
7,25/03,8.0,,,,
8,26/03,9.0,,,,
9,27/03,10.0,,,,
10,28/03,11.0,,,,
11,29/03,11.0,,,,
12,30/03,18.0,,,,
13,31/03,18.0,,,,
14,01/04,19.0,,,,
15,02/04,19.0,,,,
16,03/04,22.0,,,,
17,04/04,24.0,,,,
18,05/04,24.0,,,,
19,06/04,26.0,,,,
20,07/04,31.0,,,,
21,08/04,38.0,,,,
22,09/04,40.0,,,,
23,10/04,41.0,,,,
24,11/04,44.0,,,,
25,12/04,51.0,,,,
26,13/04,58.0,,,,
27,14/04,75.0,,,,
28,15/04,91.0,,,,
29,16/04,102.0,,,,
30,17/04,123.0,,,,
31,18/04,144.0,,,,
32,19/04,158.0,,,,
33,20/04,186.0,,,,
34,21/04,206.0,,,,
35,22/04,217.0,,,,
36,23/04,256.0,,,,
37,24/04,297.0,,,,
38,25/04,331.0,,,,
39,26/04,364.0,,,,
40,27/04,408.0,,,,
41,28/04,454.0,,,,
42,29/04,513.0,,,,
43,30/04,600.0,,,,
44,01/05,665.0,,,,
45,02/05,742.0,,,,
46,03/05,784.0,,,,
0,04/05,837.834518304787,825.3785875545179,850.290449055057,818.784816115022,856.8842204945531
1,05/05,891.6690366095751,867.8657406764979,915.472332542652,855.265036960639,928.073036258511
2,06/05,945.503554914362,908.6674035109911,982.339706317733,889.167522857009,1001.83958697172
3,07/05,999.3380732191499,947.873253578889,1050.80289285941,920.6294237369921,1078.04672270131
4,08/05,1053.17259152394,985.612723855322,1120.73245919255,949.848690253911,1156.49649279396
5,09/05,1107.0071098287199,1021.99776788593,1192.01645177152,976.9965405805659,1237.01767907688
6,10/05,1160.84162813351,1057.1211039062,1264.56215236082,1002.2147750214801,1319.46848124554
