,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,20/03,1.0,,,,
2,21/03,2.0,,,,
3,22/03,2.0,,,,
4,23/03,8.0,,,,
5,24/03,8.0,,,,
6,25/03,8.0,,,,
7,26/03,10.0,,,,
8,27/03,13.0,,,,
9,28/03,15.0,,,,
10,29/03,21.0,,,,
11,30/03,30.0,,,,
12,31/03,51.0,,,,
13,01/04,70.0,,,,
14,02/04,80.0,,,,
15,03/04,87.0,,,,
16,04/04,95.0,,,,
17,05/04,132.0,,,,
18,06/04,171.0,,,,
19,07/04,229.0,,,,
20,08/04,272.0,,,,
21,09/04,293.0,,,,
22,10/04,344.0,,,,
23,11/04,398.0,,,,
24,12/04,445.0,,,,
25,13/04,478.0,,,,
26,14/04,630.0,,,,
27,15/04,695.0,,,,
28,16/04,797.0,,,,
29,17/04,1040.0,,,,
30,18/04,1205.0,,,,
31,19/04,1320.0,,,,
32,20/04,1396.0,,,,
33,21/04,1604.0,,,,
34,22/04,1757.0,,,,
35,23/04,1951.0,,,,
36,24/04,2105.0,,,,
37,25/04,2223.0,,,,
38,26/04,2410.0,,,,
39,27/04,2528.0,,,,
40,28/04,2804.0,,,,
41,29/04,3190.0,,,,
42,30/04,3506.0,,,,
43,01/05,3805.0,,,,
44,02/05,4040.0,,,,
45,03/05,4227.0,,,,
46,04/05,4530.0,,,,
0,05/05,4795.4606358766105,4724.33873741628,4866.58253433695,4686.68907861576,4904.23219313746
1,06/05,5060.92127175322,4932.7435200728105,5189.0990234336405,4864.89031703611,5256.95222647034
2,07/05,5326.3819076298405,5134.976262521061,5517.7875527386095,5033.65223452344,5619.111580736229
3,08/05,5591.84254350645,5330.69016361041,5852.99492340249,5192.44444448758,5991.24064252531
4,09/05,5857.3031793830605,5520.18991075188,6194.416448014251,5341.732926112039,6372.87343265408
5,10/05,6122.76381525967,5703.84499461683,6541.682635902521,5482.08276661451,6763.4448639048405
6,11/05,6388.224451136291,5881.99730947564,6894.45159279694,5614.01684815943,7162.432054113149
