,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,20/03,1.0,,,,
2,21/03,1.0,,,,
3,22/03,2.0,,,,
4,23/03,6.0,,,,
5,24/03,7.0,,,,
6,25/03,9.0,,,,
7,26/03,11.0,,,,
8,27/03,11.0,,,,
9,28/03,11.0,,,,
10,29/03,11.0,,,,
11,30/03,18.0,,,,
12,31/03,25.0,,,,
13,01/04,28.0,,,,
14,02/04,41.0,,,,
15,03/04,44.0,,,,
16,04/04,60.0,,,,
17,05/04,60.0,,,,
18,06/04,76.0,,,,
19,07/04,78.0,,,,
20,08/04,90.0,,,,
21,09/04,108.0,,,,
22,10/04,112.0,,,,
23,11/04,121.0,,,,
24,12/04,123.0,,,,
25,13/04,134.0,,,,
26,14/04,138.0,,,,
27,15/04,151.0,,,,
28,16/04,156.0,,,,
29,17/04,162.0,,,,
30,18/04,171.0,,,,
31,19/04,174.0,,,,
32,20/04,181.0,,,,
33,21/04,181.0,,,,
34,22/04,205.0,,,,
35,23/04,220.0,,,,
36,24/04,241.0,,,,
37,25/04,246.0,,,,
38,26/04,249.0,,,,
39,27/04,256.0,,,,
40,28/04,263.0,,,,
41,29/04,292.0,,,,
42,30/04,302.0,,,,
43,01/05,320.0,,,,
44,02/05,333.0,,,,
45,03/05,337.0,,,,
46,04/05,344.0,,,,
0,05/05,354.584273196527,345.805426956876,363.36311943617795,341.15818647623297,368.01035991682096
1,06/05,365.168546393054,351.81022493931397,378.52686784679395,344.738756716886,385.598336069221
2,07/05,375.752819589581,358.21837544983396,393.287263729328,348.936201416102,402.569437763059
3,08/05,386.337092786107,364.716940659245,407.957244912969,353.271923464638,419.402262107577
4,09/05,396.921365982634,371.197944920078,422.64478704518996,357.58078835995906,436.26194360530997
5,10/05,407.505639179161,377.612933215792,437.39834514253,361.7886905492,453.222587809122
6,11/05,418.089912375688,383.937367625038,452.24245712633797,365.858102520093,470.32172223128305
