,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,12/03,2.0,,,,
2,13/03,2.0,,,,
3,14/03,7.0,,,,
4,15/03,8.0,,,,
5,16/03,8.0,,,,
6,17/03,18.0,,,,
7,18/03,19.0,,,,
8,19/03,28.0,,,,
9,20/03,31.0,,,,
10,21/03,33.0,,,,
11,22/03,37.0,,,,
12,23/03,42.0,,,,
13,24/03,42.0,,,,
14,25/03,46.0,,,,
15,26/03,48.0,,,,
16,27/03,57.0,,,,
17,28/03,68.0,,,,
18,29/03,73.0,,,,
19,30/03,77.0,,,,
20,31/03,87.0,,,,
21,01/04,95.0,,,,
22,02/04,106.0,,,,
23,03/04,136.0,,,,
24,04/04,176.0,,,,
25,05/04,201.0,,,,
26,06/04,223.0,,,,
27,07/04,352.0,,,,
28,08/04,401.0,,,,
29,09/04,555.0,,,,
30,10/04,684.0,,,,
31,11/04,816.0,,,,
32,12/04,960.0,,,,
33,13/04,1154.0,,,,
34,14/04,1284.0,,,,
35,15/04,1484.0,,,,
36,16/04,1683.0,,,,
37,17/04,2006.0,,,,
38,18/04,2193.0,,,,
39,19/04,2459.0,,,,
40,20/04,2690.0,,,,
41,21/04,2908.0,,,,
42,22/04,3298.0,,,,
43,23/04,3604.0,,,,
44,24/04,3999.0,,,,
45,25/04,4507.0,,,,
46,26/04,4898.0,,,,
47,27/04,5358.0,,,,
48,28/04,5724.0,,,,
49,29/04,6194.0,,,,
50,30/04,6876.0,,,,
51,01/05,7334.0,,,,
52,02/05,8145.0,,,,
53,03/05,8643.0,,,,
54,04/05,8863.0,,,,
0,05/05,9285.39768920375,9166.052424975409,9404.74295343209,9102.87485836193,9467.92052004557
1,06/05,9707.7953784075,9499.263034303109,9916.32772251189,9388.87267951272,10026.7180773023
2,07/05,10130.1930676112,9825.12809636798,10435.2580388545,9663.636455566171,10596.749679656301
3,08/05,10552.590756815,10142.325862061,10962.855651569,9925.14474570009,11180.0367679299
4,09/05,10974.9884460187,10450.9836965659,11498.9931954716,10173.5923381539,11776.384553883601
5,10/05,11397.3861352225,10751.4813320414,12043.290938403601,10409.5599831485,12385.2122872965
6,11/05,11819.783824426202,11044.2255137977,12595.3421350548,10633.6697439548,13005.8979048977
