,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,07/03,1.0,,,,
2,08/03,1.0,,,,
3,09/03,1.0,,,,
4,10/03,1.0,,,,
5,11/03,2.0,,,,
6,12/03,2.0,,,,
7,13/03,2.0,,,,
8,14/03,8.0,,,,
9,15/03,14.0,,,,
10,16/03,19.0,,,,
11,17/03,19.0,,,,
12,18/03,34.0,,,,
13,19/03,42.0,,,,
14,20/03,87.0,,,,
15,21/03,108.0,,,,
16,22/03,117.0,,,,
17,23/03,138.0,,,,
18,24/03,161.0,,,,
19,25/03,195.0,,,,
20,26/03,201.0,,,,
21,27/03,241.0,,,,
22,28/03,260.0,,,,
23,29/03,298.0,,,,
24,30/03,312.0,,,,
25,31/03,333.0,,,,
26,01/04,370.0,,,,
27,02/04,400.0,,,,
28,03/04,419.0,,,,
29,04/04,456.0,,,,
30,05/04,468.0,,,,
31,06/04,485.0,,,,
32,07/04,503.0,,,,
33,08/04,509.0,,,,
34,09/04,527.0,,,,
35,10/04,556.0,,,,
36,11/04,592.0,,,,
37,12/04,618.0,,,,
38,13/04,641.0,,,,
39,14/04,651.0,,,,
40,15/04,688.0,,,,
41,16/04,727.0,,,,
42,17/04,756.0,,,,
43,18/04,796.0,,,,
44,19/04,860.0,,,,
45,20/04,875.0,,,,
46,21/04,913.0,,,,
47,22/04,959.0,,,,
48,23/04,968.0,,,,
49,24/04,1012.0,,,,
50,25/04,1020.0,,,,
51,26/04,1125.0,,,,
52,27/04,1189.0,,,,
53,28/04,1230.0,,,,
54,29/04,1313.0,,,,
55,30/04,1423.0,,,,
56,01/05,1546.0,,,,
57,02/05,1605.0,,,,
58,03/05,1720.0,,,,
59,04/05,1793.0,,,,
60,05/05,1837.0,,,,
61,06/05,2046.0,,,,
0,07/05,2109.39797883619,2075.8021891296203,2142.99376854276,2058.01765234182,2160.77830533056
1,08/05,2218.97971830901,2173.6663181183803,2264.29311849965,2149.67885303096,2288.28058358707
2,09/05,2328.56145778184,2267.29157281706,2389.83134274662,2234.8572549261103,2422.26566063757
3,10/05,2438.1431972546698,2357.7353842770603,2518.55101023227,2315.17005926411,2561.11633524523
4,11/05,2547.72493672749,2445.63569835674,2649.81417509824,2391.5929200413198,2703.8569534136604
5,12/05,2657.30667620032,2531.37398380083,2783.2393685998104,2464.70924335783,2849.90410904281
6,13/05,2766.88841567315,2615.1960847497,2918.58074659659,2534.89501538064,2998.88181596565
