,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,17/03,3.0,,,,
2,18/03,3.0,,,,
3,19/03,4.0,,,,
4,20/03,7.0,,,,
5,21/03,11.0,,,,
6,22/03,11.0,,,,
7,23/03,17.0,,,,
8,24/03,21.0,,,,
9,25/03,23.0,,,,
10,26/03,23.0,,,,
11,27/03,25.0,,,,
12,28/03,25.0,,,,
13,29/03,34.0,,,,
14,30/03,41.0,,,,
15,31/03,42.0,,,,
16,01/04,43.0,,,,
17,02/04,45.0,,,,
18,03/04,46.0,,,,
19,04/04,46.0,,,,
20,05/04,48.0,,,,
21,06/04,50.0,,,,
22,07/04,50.0,,,,
23,08/04,58.0,,,,
24,09/04,62.0,,,,
25,10/04,70.0,,,,
26,11/04,72.0,,,,
27,12/04,77.0,,,,
28,13/04,90.0,,,,
29,14/04,99.0,,,,
30,15/04,101.0,,,,
31,16/04,115.0,,,,
32,17/04,135.0,,,,
33,18/04,142.0,,,,
34,19/04,163.0,,,,
35,20/04,176.0,,,,
36,21/04,195.0,,,,
37,22/04,214.0,,,,
38,23/04,227.0,,,,
39,24/04,234.0,,,,
40,25/04,258.0,,,,
41,26/04,279.0,,,,
42,27/04,301.0,,,,
43,28/04,317.0,,,,
44,29/04,354.0,,,,
45,30/04,404.0,,,,
46,01/05,487.0,,,,
47,02/05,553.0,,,,
48,03/05,658.0,,,,
49,04/05,733.0,,,,
50,05/05,817.0,,,,
51,06/05,943.0,,,,
52,07/05,1014.0,,,,
0,08/05,1117.3777708464,1101.05946079647,1133.69608089632,1092.4210692619301,1142.33447243086
1,09/05,1201.69517723858,1173.46966512485,1229.92068935231,1158.52798157087,1244.8623729062801
2,10/05,1297.23316749526,1251.9601023708801,1342.50623261964,1227.99398937774,1366.47234561277
3,11/05,1386.1657487859802,1322.72958807013,1449.60190950183,1289.14851306693,1483.18298450504
4,12/05,1478.98684676482,1394.7433157334601,1563.2303777961902,1350.14748423648,1607.82620929316
5,13/05,1569.51882652075,1462.94454312083,1676.09310992068,1406.52752538395,1732.5101276575501
6,14/05,1661.3983798269,1530.61697530751,1792.1797843462803,1461.38548171411,1861.4112779396899
