,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,16/03,9.0,,,,
2,17/03,10.0,,,,
3,18/03,19.0,,,,
4,19/03,24.0,,,,
5,20/03,68.0,,,,
6,21/03,84.0,,,,
7,22/03,125.0,,,,
8,23/03,164.0,,,,
9,24/03,185.0,,,,
10,25/03,211.0,,,,
11,26/03,237.0,,,,
12,27/03,282.0,,,,
13,28/03,322.0,,,,
14,29/03,359.0,,,,
15,30/03,382.0,,,,
16,31/03,401.0,,,,
17,01/04,445.0,,,,
18,02/04,563.0,,,,
19,03/04,658.0,,,,
20,04/04,745.0,,,,
21,05/04,960.0,,,,
22,06/04,1045.0,,,,
23,07/04,1188.0,,,,
24,08/04,1394.0,,,,
25,09/04,1445.0,,,,
26,10/04,1558.0,,,,
27,11/04,1668.0,,,,
28,12/04,1747.0,,,,
29,13/04,1935.0,,,,
30,14/04,2070.0,,,,
31,15/04,2291.0,,,,
32,16/04,2412.0,,,,
33,17/04,2747.0,,,,
34,18/04,3062.0,,,,
35,19/04,3306.0,,,,
36,20/04,3485.0,,,,
37,21/04,3682.0,,,,
38,22/04,4116.0,,,,
39,23/04,4702.0,,,,
40,24/04,5121.0,,,,
41,25/04,5667.0,,,,
42,26/04,6260.0,,,,
43,27/04,6783.0,,,,
44,28/04,6985.0,,,,
45,29/04,7409.0,,,,
46,30/04,7861.0,,,,
47,01/05,8000.0,,,,
48,02/05,8309.0,,,,
49,03/05,8379.0,,,,
50,04/05,11040.0,,,,
51,05/05,11470.0,,,,
52,06/05,12310.0,,,,
53,07/05,13888.0,,,,
54,08/05,15134.0,,,,
0,09/05,16353.554177303798,15885.932646531799,16821.1757080758,15638.3887611396,17068.719593468002
1,10/05,17635.6314761568,16964.065154589098,18307.1977977246,16608.5594184332,18662.7035338804
2,11/05,18917.708775009898,17979.6125880808,19855.804961939,17483.0144639511,20352.4030860687
3,12/05,20199.786073863,18948.5502959131,21451.0218518128,18286.1860854711,22113.386062254798
4,13/05,21481.863372716,19879.504937934198,23084.221807497797,19031.2676207131,23932.459124719
5,14/05,22763.9406715691,20777.5467324437,24750.334610694503,19726.0132994153,25801.8680437229
6,15/05,24046.0179704221,21646.0038794979,26446.032061346403,20375.513164319298,27716.522776525
