,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,12/03,0.0,,,,
2,13/03,0.0,,,,
3,14/03,0.0,,,,
4,15/03,0.0,,,,
5,16/03,0.0,,,,
6,17/03,0.0,,,,
7,18/03,1.0,,,,
8,19/03,1.0,,,,
9,20/03,1.0,,,,
10,21/03,1.0,,,,
11,22/03,1.0,,,,
12,23/03,2.0,,,,
13,24/03,3.0,,,,
14,25/03,5.0,,,,
15,26/03,6.0,,,,
16,27/03,10.0,,,,
17,28/03,14.0,,,,
18,29/03,14.0,,,,
19,30/03,17.0,,,,
20,31/03,18.0,,,,
21,01/04,21.0,,,,
22,02/04,29.0,,,,
23,03/04,32.0,,,,
24,04/04,34.0,,,,
25,05/04,35.0,,,,
26,06/04,36.0,,,,
27,07/04,41.0,,,,
28,08/04,55.0,,,,
29,09/04,79.0,,,,
30,10/04,85.0,,,,
31,11/04,101.0,,,,
32,12/04,111.0,,,,
33,13/04,136.0,,,,
34,14/04,152.0,,,,
35,15/04,165.0,,,,
36,16/04,195.0,,,,
37,17/04,205.0,,,,
38,18/04,236.0,,,,
39,19/04,245.0,,,,
40,20/04,263.0,,,,
41,21/04,301.0,,,,
42,22/04,345.0,,,,
43,23/04,386.0,,,,
44,24/04,447.0,,,,
45,25/04,499.0,,,,
46,26/04,543.0,,,,
47,27/04,633.0,,,,
48,28/04,698.0,,,,
49,29/04,814.0,,,,
50,30/04,926.0,,,,
51,01/05,1034.0,,,,
52,02/05,1169.0,,,,
53,03/05,1219.0,,,,
54,04/05,1361.0,,,,
55,05/05,1493.0,,,,
56,06/05,1657.0,,,,
57,07/05,1849.0,,,,
58,08/05,2030.0,,,,
59,09/05,2156.0,,,,
60,10/05,2341.0,,,,
61,11/05,2525.0,,,,
62,12/05,2777.0,,,,
63,13/05,3045.0,,,,
64,14/05,3361.0,,,,
0,15/05,3652.29178914026,3625.25166123601,3679.3319170445,3610.93748217786,3693.64609610265
1,16/05,3965.58927035461,3915.1090916934004,4016.0694490158203,3888.3864993002294,4042.79204140899
2,17/05,4268.3667627711,4174.06215172243,4362.67137381977,4124.140306184539,4412.59321935766
3,18/05,4571.14425518759,4428.26626408789,4714.0222462873,4352.63122436791,4789.65728600727
4,19/05,4873.921747604079,4677.344179562279,5070.4993156458795,4573.28230094501,5174.56119426316
5,20/05,5176.69924002057,4921.52982726253,5431.86865277862,4786.4512996269505,5566.9471804142
6,21/05,5479.47673243706,5161.11782022714,5797.83564464698,4992.58879217409,5966.36467270003
