,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,18/03,1.0,,,,
2,19/03,1.0,,,,
3,20/03,1.0,,,,
4,21/03,2.0,,,,
5,22/03,5.0,,,,
6,23/03,7.0,,,,
7,24/03,7.0,,,,
8,25/03,7.0,,,,
9,26/03,8.0,,,,
10,27/03,9.0,,,,
11,28/03,9.0,,,,
12,29/03,10.0,,,,
13,30/03,11.0,,,,
14,31/03,12.0,,,,
15,01/04,12.0,,,,
16,02/04,12.0,,,,
17,03/04,13.0,,,,
18,04/04,16.0,,,,
19,05/04,17.0,,,,
20,06/04,19.0,,,,
21,07/04,19.0,,,,
22,08/04,23.0,,,,
23,09/04,23.0,,,,
24,10/04,23.0,,,,
25,11/04,25.0,,,,
26,12/04,26.0,,,,
27,13/04,26.0,,,,
28,14/04,27.0,,,,
29,15/04,29.0,,,,
30,16/04,31.0,,,,
31,17/04,32.0,,,,
32,18/04,33.0,,,,
33,19/04,34.0,,,,
34,20/04,35.0,,,,
35,21/04,36.0,,,,
36,22/04,37.0,,,,
37,23/04,43.0,,,,
38,24/04,50.0,,,,
39,25/04,58.0,,,,
40,26/04,67.0,,,,
41,27/04,79.0,,,,
42,28/04,116.0,,,,
43,29/04,137.0,,,,
44,30/04,164.0,,,,
45,01/05,191.0,,,,
46,02/05,246.0,,,,
47,03/05,267.0,,,,
48,04/05,303.0,,,,
49,05/05,351.0,,,,
50,06/05,423.0,,,,
51,07/05,494.0,,,,
52,08/05,572.0,,,,
53,09/05,688.0,,,,
54,10/05,747.0,,,,
55,11/05,828.0,,,,
56,12/05,932.0,,,,
57,13/05,1029.0,,,,
0,14/05,1118.5975809744,1104.2567768649,1132.93838508391,1096.66521374107,1140.52994820774
1,15/05,1224.65032470205,1198.4386321029401,1250.86201730115,1184.56300020469,1264.7376491994
2,16/05,1331.20817260983,1290.5240543902498,1371.8922908294198,1268.98718314908,1393.4291620705899
3,17/05,1424.8508921487398,1364.1761544497301,1485.5256298477402,1332.05688849041,1517.64489580706
4,18/05,1522.20897177909,1439.51256800007,1604.90537555811,1395.73573619845,1648.6822073597302
5,19/05,1628.3962130106102,1523.4775825686402,1733.3148434525901,1467.9370145653602,1788.8554114558701
6,20/05,1728.89607585935,1599.37328687256,1858.4188648461397,1530.80806409573,1926.98408762297
