,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,08/03,1.0,,,,
2,09/03,1.0,,,,
3,10/03,1.0,,,,
4,11/03,1.0,,,,
5,12/03,1.0,,,,
6,13/03,1.0,,,,
7,14/03,1.0,,,,
8,15/03,1.0,,,,
9,16/03,1.0,,,,
10,17/03,1.0,,,,
11,18/03,1.0,,,,
12,19/03,4.0,,,,
13,20/03,6.0,,,,
14,21/03,7.0,,,,
15,22/03,7.0,,,,
16,23/03,8.0,,,,
17,24/03,10.0,,,,
18,25/03,11.0,,,,
19,26/03,11.0,,,,
20,27/03,12.0,,,,
21,28/03,14.0,,,,
22,29/03,17.0,,,,
23,30/03,17.0,,,,
24,31/03,18.0,,,,
25,01/04,18.0,,,,
26,02/04,18.0,,,,
27,03/04,23.0,,,,
28,04/04,23.0,,,,
29,05/04,28.0,,,,
30,06/04,31.0,,,,
31,07/04,34.0,,,,
32,08/04,37.0,,,,
33,09/04,37.0,,,,
34,10/04,45.0,,,,
35,11/04,48.0,,,,
36,12/04,48.0,,,,
37,13/04,58.0,,,,
38,14/04,72.0,,,,
39,15/04,83.0,,,,
40,16/04,89.0,,,,
41,17/04,110.0,,,,
42,18/04,132.0,,,,
43,19/04,159.0,,,,
44,20/04,171.0,,,,
45,21/04,210.0,,,,
46,22/04,243.0,,,,
47,23/04,324.0,,,,
48,24/04,413.0,,,,
49,25/04,501.0,,,,
50,26/04,560.0,,,,
51,27/04,643.0,,,,
52,28/04,777.0,,,,
53,29/04,957.0,,,,
54,30/04,1045.0,,,,
55,01/05,1226.0,,,,
56,02/05,1371.0,,,,
57,03/05,1441.0,,,,
58,04/05,1538.0,,,,
59,05/05,1605.0,,,,
60,06/05,1703.0,,,,
61,07/05,1867.0,,,,
62,08/05,2033.0,,,,
63,09/05,2170.0,,,,
64,10/05,2258.0,,,,
65,11/05,2343.0,,,,
66,12/05,2580.0,,,,
67,13/05,2761.0,,,,
68,14/05,2972.0,,,,
69,15/05,3212.0,,,,
0,16/05,3431.82732593478,3392.4189099435403,3471.2357419260197,3371.5573546693,3492.09729720026
1,17/05,3651.65465186956,3579.16139729884,3724.14790644027,3540.78578642495,3762.5235173141705
2,18/05,3871.4819778043397,3761.81933470029,3981.1446209083797,3703.76743809164,4039.19651751704
3,19/05,4091.3093037391204,3940.3654650954295,4242.2531423828,3860.46062360495,4322.15798387328
4,20/05,4311.13662967389,4115.05281462368,4507.22044472411,4011.25231305156,4611.02094629623
5,21/05,4530.96395560867,4286.13849785631,4775.78941336103,4156.53572923509,4905.39218198226
6,22/05,4750.791281543449,4453.84832690043,5047.73423618647,4296.656221971421,5204.92634111548
