,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,20/03,1.0,,,,
2,21/03,3.0,,,,
3,22/03,3.0,,,,
4,23/03,3.0,,,,
5,24/03,5.0,,,,
6,25/03,5.0,,,,
7,26/03,6.0,,,,
8,27/03,6.0,,,,
9,28/03,6.0,,,,
10,29/03,6.0,,,,
11,30/03,8.0,,,,
12,31/03,9.0,,,,
13,01/04,9.0,,,,
14,02/04,10.0,,,,
15,03/04,10.0,,,,
16,04/04,11.0,,,,
17,05/04,14.0,,,,
18,06/04,18.0,,,,
19,07/04,23.0,,,,
20,08/04,26.0,,,,
21,09/04,28.0,,,,
22,10/04,32.0,,,,
23,11/04,34.0,,,,
24,12/04,42.0,,,,
25,13/04,42.0,,,,
26,14/04,69.0,,,,
27,15/04,73.0,,,,
28,16/04,92.0,,,,
29,17/04,110.0,,,,
30,18/04,128.0,,,,
31,19/04,160.0,,,,
32,20/04,199.0,,,,
33,21/04,223.0,,,,
34,22/04,223.0,,,,
35,23/04,250.0,,,,
36,24/04,290.0,,,,
37,25/04,328.0,,,,
38,26/04,364.0,,,,
39,27/04,393.0,,,,
40,28/04,413.0,,,,
41,29/04,433.0,,,,
42,30/04,502.0,,,,
43,01/05,585.0,,,,
44,02/05,654.0,,,,
45,03/05,705.0,,,,
46,04/05,756.0,,,,
47,05/05,861.0,,,,
48,06/05,943.0,,,,
49,07/05,1098.0,,,,
50,08/05,1222.0,,,,
51,09/05,1263.0,,,,
52,10/05,1302.0,,,,
53,11/05,1398.0,,,,
54,12/05,1460.0,,,,
55,13/05,1612.0,,,,
56,14/05,1686.0,,,,
57,15/05,1794.0,,,,
0,16/05,1890.59786643797,1859.59880324142,1921.5969296345102,1843.1888904332502,1938.00684244268
1,17/05,1987.1957328759302,1935.6221407358898,2038.7693250159803,1908.3207302107999,2066.07073554107
2,18/05,2083.7935993139004,2010.9546062760699,2156.63259235173,1972.3959725132602,2195.19122611454
3,19/05,2180.39146575187,2084.96174886059,2275.82118264315,2034.4443082668104,2326.33862323693
4,20/05,2276.98933218984,2157.5213041276998,2396.45736025197,2094.2787502662,2459.6999141134697
5,21/05,2373.5871986278,2228.63308885043,2518.54130840518,2151.8990182899397,2595.27537896567
6,22/05,2470.18506506577,2298.33361192058,2642.03651821096,2207.36094786974,2733.0091822618
