,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,25/02,1.0,,,,
2,26/02,1.0,,,,
3,27/02,1.0,,,,
4,28/02,2.0,,,,
5,29/02,2.0,,,,
6,01/03,2.0,,,,
7,02/03,2.0,,,,
8,03/03,2.0,,,,
9,04/03,3.0,,,,
10,05/03,6.0,,,,
11,06/03,10.0,,,,
12,07/03,13.0,,,,
13,08/03,16.0,,,,
14,09/03,16.0,,,,
15,10/03,19.0,,,,
16,11/03,30.0,,,,
17,12/03,46.0,,,,
18,13/03,46.0,,,,
19,14/03,65.0,,,,
20,15/03,65.0,,,,
21,16/03,152.0,,,,
22,17/03,164.0,,,,
23,18/03,240.0,,,,
24,19/03,286.0,,,,
25,20/03,396.0,,,,
26,21/03,396.0,,,,
27,22/03,631.0,,,,
28,23/03,745.0,,,,
29,24/03,810.0,,,,
30,25/03,862.0,,,,
31,26/03,1052.0,,,,
32,27/03,1223.0,,,,
33,28/03,1406.0,,,,
34,29/03,1451.0,,,,
35,30/03,1517.0,,,,
36,31/03,2339.0,,,,
37,01/04,2981.0,,,,
38,02/04,3506.0,,,,
39,03/04,4048.0,,,,
40,04/04,4466.0,,,,
41,05/04,4620.0,,,,
42,06/04,4866.0,,,,
43,07/04,5682.0,,,,
44,08/04,6708.0,,,,
45,09/04,7480.0,,,,
46,10/04,8216.0,,,,
47,11/04,8419.0,,,,
48,12/04,8755.0,,,,
49,13/04,8895.0,,,,
50,14/04,9371.0,,,,
51,15/04,11043.0,,,,
52,16/04,11568.0,,,,
53,17/04,12841.0,,,,
54,18/04,13894.0,,,,
55,19/04,14267.0,,,,
56,20/04,14580.0,,,,
57,21/04,15385.0,,,,
58,22/04,15914.0,,,,
59,23/04,16740.0,,,,
60,24/04,17826.0,,,,
61,25/04,20004.0,,,,
62,26/04,20715.0,,,,
63,27/04,21696.0,,,,
64,28/04,24041.0,,,,
65,29/04,26158.0,,,,
66,30/04,28698.0,,,,
67,01/05,30374.0,,,,
68,02/05,31174.0,,,,
69,03/05,31772.0,,,,
70,04/05,32187.0,,,,
71,05/05,34053.0,,,,
72,06/05,37853.0,,,,
73,07/05,39928.0,,,,
74,08/05,41830.0,,,,
75,09/05,44411.0,,,,
76,10/05,45444.0,,,,
77,11/05,46131.0,,,,
78,12/05,47719.0,,,,
79,13/05,51097.0,,,,
80,14/05,54286.0,,,,
81,15/05,58378.0,,,,
0,16/05,61830.145365384196,61100.917865729105,62559.372865039295,60714.8881457086,62945.402585059805
1,17/05,64572.7646126746,63122.782405056605,66022.7468202927,62355.2081900054,66790.32103534389
2,18/05,67315.38385996509,65248.0499469801,69382.71777295,64153.669479984695,70477.0982399455
3,19/05,70058.0031072555,67385.3438460291,72730.66236848201,65970.52349598821,74145.4827185229
4,20/05,72800.622354546,69513.1865873873,76088.0581217047,67772.9232136364,77828.3214954555
5,21/05,75543.2416018364,71623.6344580321,79462.8487456408,69548.7197722463,81537.7634314265
6,22/05,78285.86084912691,73713.2863328852,82858.4353653686,71292.71159988,85279.0100983738
