,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,17/03,3.0,,,,
2,18/03,3.0,,,,
3,19/03,4.0,,,,
4,20/03,7.0,,,,
5,21/03,11.0,,,,
6,22/03,11.0,,,,
7,23/03,17.0,,,,
8,24/03,21.0,,,,
9,25/03,23.0,,,,
10,26/03,23.0,,,,
11,27/03,25.0,,,,
12,28/03,25.0,,,,
13,29/03,34.0,,,,
14,30/03,41.0,,,,
15,31/03,42.0,,,,
16,01/04,43.0,,,,
17,02/04,45.0,,,,
18,03/04,46.0,,,,
19,04/04,46.0,,,,
20,05/04,48.0,,,,
21,06/04,50.0,,,,
22,07/04,50.0,,,,
23,08/04,58.0,,,,
24,09/04,62.0,,,,
25,10/04,70.0,,,,
26,11/04,72.0,,,,
27,12/04,77.0,,,,
28,13/04,90.0,,,,
29,14/04,99.0,,,,
30,15/04,101.0,,,,
31,16/04,115.0,,,,
32,17/04,135.0,,,,
33,18/04,142.0,,,,
34,19/04,163.0,,,,
35,20/04,176.0,,,,
36,21/04,195.0,,,,
37,22/04,214.0,,,,
38,23/04,227.0,,,,
39,24/04,234.0,,,,
40,25/04,258.0,,,,
41,26/04,279.0,,,,
42,27/04,301.0,,,,
43,28/04,317.0,,,,
44,29/04,354.0,,,,
45,30/04,404.0,,,,
0,01/05,444.62608324152296,436.03426749126,453.21789899178594,431.486034971078,457.766131511968
1,02/05,485.25216648304604,469.335147869731,501.169185096361,460.90918718974405,509.59514577634803
2,03/05,525.8782497245691,501.695324719907,550.0611747292311,488.89365751284004,562.862841936299
3,04/05,566.504332966092,533.121347038368,599.887318893816,515.44946176632,617.559204165864
4,05/05,607.130416207615,563.674709385889,650.586123029341,540.67064776504,673.59018465019
5,06/05,647.756499449138,593.4153981501461,702.09760074813,564.6489567721441,730.8640421261321
6,07/05,688.382582690661,622.3953751022519,754.36979027907,587.463857458805,789.3013079225169
7,08/05,729.008665932184,650.6589078534761,807.358424010892,609.183051294168,848.8342805702
8,09/05,769.634749173707,678.243876116018,861.025622231396,629.8644702988,909.4050280486141
9,10/05,810.26083241523,705.1830034601641,915.3386613702969,649.558160854706,970.963503975755
10,11/05,850.8869156567529,731.50485133881,970.2689799746961,668.307803934644,1033.46602737886
11,12/05,891.512998898276,757.2345925263389,1025.79140527021,686.1518979748099,1096.8740998217402
12,13/05,932.139082139799,782.3946102563209,1081.88355402328,703.124675176888,1161.15348910271
13,14/05,972.765165381322,807.0049653414211,1138.52536542122,719.256815906286,1226.27351485636
