,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
45,01/05,3359,,,,
956,15/03,6,,,,
1003,25/02,1,,,,
1004,26/02,1,,,,
1005,27/02,1,,,,
1006,28/02,2,,,,
1007,29/02,2,,,,
1008,01/03,2,,,,
1009,02/03,2,,,,
1010,03/03,2,,,,
1011,04/03,3,,,,
1012,05/03,6,,,,
1013,06/03,10,,,,
1014,07/03,13,,,,
1015,08/03,16,,,,
1016,09/03,16,,,,
1017,10/03,19,,,,
1018,11/03,30,,,,
1066,30/04,28698,,,,
1068,17/03,10,,,,
1112,12/03,1,,,,
1113,13/03,1,,,,
1193,19/03,1,,,,
1196,22/03,5,,,,
1197,23/03,7,,,,
1200,26/03,8,,,,
1202,28/03,9,,,,
1203,29/03,10,,,,
1210,05/04,17,,,,
1217,12/04,26,,,,
1234,29/04,137,,,,
1235,14/03,1,,,,
1236,16/03,5,,,,
1237,18/03,6,,,,
1238,20/03,7,,,,
1239,21/03,10,,,,
1240,24/03,15,,,,
1241,25/03,16,,,,
1242,27/03,16,,,,
1243,30/03,18,,,,
1244,31/03,19,,,,
1245,01/04,22,,,,
1246,02/04,24,,,,
1247,03/04,27,,,,
1248,04/04,32,,,,
1249,06/04,32,,,,
1250,07/04,36,,,,
1251,08/04,39,,,,
1252,09/04,40,,,,
1253,10/04,42,,,,
1254,11/04,44,,,,
1255,13/04,45,,,,
1256,14/04,46,,,,
1257,15/04,48,,,,
1258,16/04,53,,,,
1259,17/04,58,,,,
1260,18/04,71,,,,
1261,19/04,86,,,,
1262,20/04,92,,,,
1263,21/04,117,,,,
1264,22/04,118,,,,
1265,23/04,135,,,,
1266,24/04,145,,,,
1267,25/04,154,,,,
1268,26/04,175,,,,
1269,27/04,211,,,,
1270,28/04,280,,,,
0,09/09,280,-941.4940663851789,1501.49406638518,-1588.1139657669198,2148.11396576692
1,10/09,280,-1447.4534750401801,2007.4534750401801,-2361.91210644617,2921.91210644617
2,11/09,280,-1835.6897841230398,2395.6897841230398,-2955.66830303729,3515.66830303729
3,12/09,280,-2162.98813277036,2722.98813277036,-3456.2279315338396,4016.2279315338396
4,13/09,280,-2451.3437665499,3011.3437665499,-3897.22981717155,4457.22981717155
5,14/09,280,-2712.03718648101,3272.03718648101,-4295.9259974960705,4855.9259974960705
6,15/09,280,-2951.7695275962105,3511.7695275962105,-4662.5649741459,5222.5649741459
7,16/09,280,-3174.9069500803603,3734.9069500803603,-5003.824212892329,5563.824212892329
8,17/09,280,-3384.4821991555395,3944.4821991555395,-5324.34189730076,5884.34189730076
9,18/09,280,-3582.70339815808,4142.70339815808,-5627.49506059329,6187.49506059329
10,19/09,280,-3771.23750184511,4331.23750184511,-5915.8330900717,6475.8330900717
11,20/09,280,-3951.3795682460795,4511.3795682460795,-6191.33660607458,6751.33660607458
12,21/09,280,-4124.15948902678,4684.15948902678,-6455.58069198301,7015.58069198301
13,22/09,280,-4290.412296390639,4850.412296390639,-6709.842419347359,7269.842419347359
