,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,25/02,0.0,,,,
2,26/02,0.0,,,,
3,27/02,0.0,,,,
4,28/02,0.0,,,,
5,29/02,0.0,,,,
6,01/03,0.0,,,,
7,02/03,0.0,,,,
8,03/03,0.0,,,,
9,04/03,0.0,,,,
10,05/03,0.0,,,,
11,06/03,0.0,,,,
12,07/03,0.0,,,,
13,08/03,0.0,,,,
14,09/03,0.0,,,,
15,10/03,0.0,,,,
16,11/03,0.0,,,,
17,12/03,0.0,,,,
18,13/03,0.0,,,,
19,14/03,0.0,,,,
20,15/03,0.0,,,,
21,16/03,0.0,,,,
22,17/03,1.0,,,,
23,18/03,3.0,,,,
24,19/03,7.0,,,,
25,20/03,11.0,,,,
26,21/03,18.0,,,,
27,22/03,25.0,,,,
28,23/03,34.0,,,,
29,24/03,47.0,,,,
30,25/03,59.0,,,,
31,26/03,77.0,,,,
32,27/03,93.0,,,,
33,28/03,115.0,,,,
34,29/03,137.0,,,,
35,30/03,166.0,,,,
36,31/03,202.0,,,,
37,01/04,244.0,,,,
38,02/04,305.0,,,,
39,03/04,365.0,,,,
40,04/04,445.0,,,,
41,05/04,496.0,,,,
42,06/04,569.0,,,,
43,07/04,691.0,,,,
44,08/04,826.0,,,,
45,09/04,959.0,,,,
46,10/04,1073.0,,,,
47,11/04,1141.0,,,,
48,12/04,1237.0,,,,
49,13/04,1350.0,,,,
50,14/04,1557.0,,,,
51,15/04,1760.0,,,,
52,16/04,1962.0,,,,
53,17/04,2173.0,,,,
54,18/04,2375.0,,,,
55,19/04,2491.0,,,,
56,20/04,2598.0,,,,
57,21/04,2772.0,,,,
58,22/04,2940.0,,,,
59,23/04,3349.0,,,,
60,24/04,3722.0,,,,
61,25/04,4074.0,,,,
62,26/04,4301.0,,,,
63,27/04,4606.0,,,,
64,28/04,5092.0,,,,
65,29/04,5534.0,,,,
66,30/04,5980.0,,,,
67,01/05,6438.0,,,,
68,02/05,6808.0,,,,
69,03/05,7073.0,,,,
70,04/05,7381.0,,,,
71,05/05,7972.0,,,,
72,06/05,8597.0,,,,
73,07/05,9273.0,,,,
74,08/05,10027.0,,,,
75,09/05,10695.0,,,,
76,10/05,10864.0,,,,
0,11/05,10914.5073439071,10815.8629840209,11013.1517037933,10763.6438142193,11065.3708735949
1,12/05,11105.218490168401,10868.943241028,11341.493739308899,10743.866679438299,11466.5703008985
2,13/05,11473.875780068602,11088.86260135,11858.8889587872,10885.0489359914,12062.7026241458
3,14/05,11842.533069968798,11324.0982991079,12360.9678408297,11049.6555092529,12635.410630684699
4,15/05,12211.190359868899,11562.209061136298,12860.1716586016,11218.659113874499,13203.7216058634
5,16/05,12579.847649769099,11799.3517610003,13360.3435385379,11386.1821951775,13773.5131043607
