,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,21/03,2.0,,,,
2,22/03,2.0,,,,
3,23/03,2.0,,,,
4,24/03,8.0,,,,
5,25/03,8.0,,,,
6,26/03,10.0,,,,
7,27/03,12.0,,,,
8,28/03,16.0,,,,
9,29/03,16.0,,,,
10,30/03,16.0,,,,
11,31/03,16.0,,,,
12,01/04,26.0,,,,
13,02/04,30.0,,,,
14,03/04,37.0,,,,
15,04/04,42.0,,,,
16,05/04,42.0,,,,
17,06/04,42.0,,,,
18,07/04,49.0,,,,
19,08/04,52.0,,,,
20,09/04,63.0,,,,
21,10/04,75.0,,,,
22,11/04,79.0,,,,
23,12/04,83.0,,,,
24,13/04,113.0,,,,
25,14/04,114.0,,,,
26,15/04,142.0,,,,
27,16/04,164.0,,,,
28,17/04,201.0,,,,
29,18/04,222.0,,,,
30,19/04,244.0,,,,
31,20/04,247.0,,,,
32,21/04,280.0,,,,
33,22/04,297.0,,,,
34,23/04,304.0,,,,
35,24/04,345.0,,,,
36,25/04,401.0,,,,
37,26/04,407.0,,,,
38,27/04,425.0,,,,
0,29/04,444.184088183107,428.345803976784,460.02237238943,419.961522774191,468.406653592022
1,30/04,462.368176366213,437.415551193494,487.320801538932,424.206429329937,500.52992340249
2,01/05,480.55226454932,446.802295856848,514.302233241792,428.936141644044,532.168387454596
3,02/05,498.736352732426,456.02984836469597,541.442857100157,433.422390565961,564.050314898892
4,03/05,516.9204409155329,464.952157258791,568.888724572276,437.441809665691,596.399072165375
5,04/05,535.1045290986401,473.51439208786695,596.694666109412,440.910543004367,629.298515192913
6,05/05,553.288617281746,481.69611386722505,624.881120696267,443.79733185235904,662.779902711134
7,06/05,571.472705464853,489.49197097071703,653.453439958988,446.09399160376404,696.851419325941
8,07/05,589.656793647959,496.90378052365196,682.409806772267,447.803301311925,731.510285983994
9,08/05,607.840881831066,503.93687801508696,711.7448856470461,448.93342090319396,766.748342758938
10,09/05,626.0249700141729,510.598300038078,741.451639990268,449.495111917984,802.554828110361
11,10/05,644.209058197279,516.895832413433,771.522283981125,449.500281741674,838.917834652885
12,11/05,662.3931463803859,522.837495904818,801.948796855954,448.96119707373595,875.825095687036
13,12/05,680.577234563493,528.431264785145,832.723204341841,447.890053512171,913.264415614814
