,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,21/03,2.0,,,,
2,22/03,2.0,,,,
3,23/03,2.0,,,,
4,24/03,8.0,,,,
5,25/03,8.0,,,,
6,26/03,10.0,,,,
7,27/03,12.0,,,,
8,28/03,16.0,,,,
9,29/03,16.0,,,,
10,30/03,16.0,,,,
11,31/03,16.0,,,,
12,01/04,26.0,,,,
13,02/04,30.0,,,,
14,03/04,37.0,,,,
15,04/04,42.0,,,,
16,05/04,42.0,,,,
17,06/04,42.0,,,,
18,07/04,49.0,,,,
19,08/04,52.0,,,,
20,09/04,63.0,,,,
21,10/04,75.0,,,,
22,11/04,79.0,,,,
23,12/04,83.0,,,,
24,13/04,113.0,,,,
25,14/04,114.0,,,,
26,15/04,142.0,,,,
27,16/04,164.0,,,,
28,17/04,201.0,,,,
29,18/04,222.0,,,,
30,19/04,244.0,,,,
31,20/04,247.0,,,,
32,21/04,280.0,,,,
33,22/04,297.0,,,,
34,23/04,304.0,,,,
35,24/04,345.0,,,,
36,25/04,401.0,,,,
37,26/04,407.0,,,,
38,27/04,425.0,,,,
39,28/04,425.0,,,,
40,29/04,426.0,,,,
41,30/04,519.0,,,,
42,01/05,519.0,,,,
43,02/05,519.0,,,,
44,03/05,533.0,,,,
45,04/05,578.0,,,,
46,05/05,869.0,,,,
47,06/05,932.0,,,,
48,07/05,1020.0,,,,
49,08/05,1124.0,,,,
50,09/05,1202.0,,,,
51,10/05,1290.0,,,,
52,11/05,1295.0,,,,
0,12/05,1362.17905002247,1306.3989001402,1417.95919990474,1276.87067245825,1447.48742758669
1,13/05,1429.3581000449499,1342.4944533931,1516.2217466968,1296.51161646932,1562.2045836205803
2,14/05,1496.53715006742,1380.1963026379801,1612.87799749686,1318.6091782064698,1674.46512192837
3,15/05,1563.7162000898902,1417.7206078687198,1709.71179231107,1340.43520980567,1786.9971903741198
4,16/05,1630.89525011237,1454.4938826965197,1807.29661752822,1361.1126395220801,1900.6778607026502
5,17/05,1698.07430013484,1490.28361211103,1905.8649881586498,1380.28586633398,2015.8627339357001
6,18/05,1765.2533501573103,1524.98915271629,2005.51754759834,1397.80096944978,2132.70573086485
