,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,10/03,1.0,,,,
2,11/03,2.0,,,,
3,12/03,4.0,,,,
4,13/03,4.0,,,,
5,14/03,4.0,,,,
6,15/03,4.0,,,,
7,16/03,8.0,,,,
8,17/03,8.0,,,,
9,18/03,19.0,,,,
10,19/03,31.0,,,,
11,20/03,43.0,,,,
12,21/03,69.0,,,,
13,22/03,77.0,,,,
14,23/03,96.0,,,,
15,24/03,112.0,,,,
16,25/03,162.0,,,,
17,26/03,190.0,,,,
18,27/03,197.0,,,,
19,28/03,200.0,,,,
20,29/03,230.0,,,,
21,30/03,254.0,,,,
22,31/03,305.0,,,,
23,01/04,316.0,,,,
24,02/04,386.0,,,,
25,03/04,410.0,,,,
26,04/04,418.0,,,,
27,05/04,468.0,,,,
28,06/04,501.0,,,,
29,07/04,555.0,,,,
30,08/04,581.0,,,,
31,09/04,636.0,,,,
32,10/04,640.0,,,,
33,11/04,653.0,,,,
34,12/04,664.0,,,,
35,13/04,685.0,,,,
36,14/04,720.0,,,,
37,15/04,762.0,,,,
38,16/04,792.0,,,,
39,17/04,831.0,,,,
40,18/04,854.0,,,,
41,19/04,869.0,,,,
42,20/04,904.0,,,,
43,21/04,918.0,,,,
44,22/04,970.0,,,,
45,23/04,1039.0,,,,
46,24/04,1096.0,,,,
47,25/04,1166.0,,,,
48,26/04,1208.0,,,,
49,27/04,1256.0,,,,
50,28/04,1350.0,,,,
51,29/04,1420.0,,,,
52,30/04,1529.0,,,,
53,01/05,1619.0,,,,
54,02/05,1666.0,,,,
55,03/05,1690.0,,,,
56,04/05,1768.0,,,,
57,05/05,2019.0,,,,
58,06/05,2100.0,,,,
59,07/05,2182.0,,,,
60,08/05,2493.0,,,,
61,09/05,2542.0,,,,
62,10/05,2576.0,,,,
63,11/05,2808.0,,,,
0,12/05,2894.48893220894,2844.62291116752,2944.3549532503603,2818.22543417953,2970.7524302383504
1,13/05,2975.0601271805604,2897.83693740326,3052.28331695787,2856.9574500787703,3093.1628042823604
2,14/05,3159.72949923151,3067.14593520935,3252.3130632536604,3018.13515693388,3301.3238415291303
3,15/05,3259.3391549781604,3133.33862988526,3385.3396800710602,3066.63798098343,3452.04032897288
4,16/05,3360.8945074737603,3202.9520440274896,3518.83697092003,3119.3423543595195,3602.4466605879998
5,17/05,3518.67575540151,3333.16914024479,3704.18237055823,3234.9678700722197,3802.3836407308004
6,18/05,3627.01461972182,3404.59200780372,3849.43723163992,3286.84858939783,3967.18065004581
