,date,state,confirmed,deaths,is_last,estimated_population_2019,confirmed_per_100k_inhabitants
0,2020-05-03,DF,1720,33,True,3015268.0,57.04302
57,2020-05-04,TO,303,7,True,1572866.0,19.2642
105,2020-05-04,RO,756,25,True,1777225.0,42.53823
148,2020-05-04,RN,1536,68,True,3506853.0,43.79995
194,2020-05-04,PI,875,29,True,3273227.0,26.732029999999998
240,2020-05-04,MA,4530,271,True,7075181.0,64.02663000000001
286,2020-05-04,AM,7313,585,True,4144597.0,176.44659
335,2020-05-04,AC,733,28,True,881935.0,83.1127
384,2020-05-05,SP,34053,2851,True,45919049.0,74.15876999999999
453,2020-05-05,SE,898,21,True,2298696.0,39.06563
495,2020-05-05,SC,2795,58,True,7164788.0,39.01023
550,2020-05-05,RS,2019,83,True,11377239.0,17.74596
604,2020-05-05,RR,869,11,True,605761.0,143.45592
647,2020-05-05,RJ,12391,1123,True,17264943.0,71.76971
701,2020-05-05,PR,1608,102,True,11433957.0,14.06337
754,2020-05-05,PE,9325,749,True,9557071.0,97.57174
809,2020-05-05,PB,1493,92,True,4018127.0,37.156620000000004
864,2020-05-05,PA,4756,375,True,8602865.0,55.28391
913,2020-05-05,MT,366,13,True,3484466.0,10.50376
957,2020-05-05,MS,283,10,True,2778986.0,10.18357
1010,2020-05-05,MG,2452,94,True,21168791.0,11.583089999999999
1068,2020-05-05,GO,922,38,True,7018354.0,13.13698
1123,2020-05-05,ES,3540,133,True,4018650.0,88.08928
1185,2020-05-05,CE,11470,795,True,9132078.0,125.6012
1236,2020-05-05,BA,4040,146,True,14873064.0,27.1632
1295,2020-05-05,AP,1931,55,True,845731.0,228.32318999999998
1342,2020-05-05,AL,1605,80,True,3337357.0,48.09195
