,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,20/03,1.0,,,,
2,21/03,1.0,,,,
3,22/03,1.0,,,,
4,23/03,1.0,,,,
5,24/03,1.0,,,,
6,25/03,2.0,,,,
7,26/03,2.0,,,,
8,27/03,3.0,,,,
9,28/03,4.0,,,,
10,29/03,8.0,,,,
11,30/03,8.0,,,,
12,31/03,10.0,,,,
13,01/04,11.0,,,,
14,02/04,12.0,,,,
15,03/04,19.0,,,,
16,04/04,29.0,,,,
17,05/04,32.0,,,,
18,06/04,39.0,,,,
19,07/04,51.0,,,,
20,08/04,107.0,,,,
21,09/04,110.0,,,,
22,10/04,166.0,,,,
23,11/04,193.0,,,,
24,12/04,237.0,,,,
25,13/04,244.0,,,,
26,14/04,308.0,,,,
27,15/04,342.0,,,,
28,16/04,362.0,,,,
29,17/04,375.0,,,,
30,18/04,400.0,,,,
31,19/04,416.0,,,,
32,20/04,435.0,,,,
33,21/04,466.0,,,,
34,22/04,492.0,,,,
35,23/04,555.0,,,,
36,24/04,648.0,,,,
37,25/04,689.0,,,,
38,26/04,821.0,,,,
39,27/04,842.0,,,,
40,28/04,918.0,,,,
41,29/04,1016.0,,,,
42,30/04,1080.0,,,,
0,01/05,1169.38397166861,1141.31464736073,1197.45329597649,1126.4556446368,1212.31229870041
1,02/05,1246.56385180577,1206.76847431777,1286.3592292937699,1185.7020740009,1307.42562961064
2,03/05,1326.14162547451,1265.79682433001,1386.486426619,1233.85221623238,1418.43103471664
3,04/05,1408.01877696794,1325.48145537179,1490.5560985640802,1281.78883659085,1534.24871734502
4,05/05,1486.68746967525,1380.44121195165,1592.9337273988501,1324.19784051863,1649.17709883187
5,06/05,1567.66582376923,1434.52996284236,1700.80168469611,1364.0520953146001,1771.2795522238603
