,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,20/03,1.0,,,,
2,22/03,2.0,,,,
3,23/03,6.0,,,,
4,24/03,7.0,,,,
5,25/03,9.0,,,,
6,26/03,11.0,,,,
7,27/03,11.0,,,,
8,30/03,18.0,,,,
9,31/03,25.0,,,,
10,01/04,28.0,,,,
11,02/04,41.0,,,,
12,03/04,44.0,,,,
13,04/04,60.0,,,,
14,05/04,60.0,,,,
15,06/04,76.0,,,,
16,07/04,78.0,,,,
17,08/04,90.0,,,,
18,09/04,108.0,,,,
19,10/04,112.0,,,,
20,11/04,121.0,,,,
21,12/04,123.0,,,,
22,13/04,134.0,,,,
23,14/04,138.0,,,,
24,15/04,151.0,,,,
25,16/04,156.0,,,,
26,17/04,162.0,,,,
27,18/04,171.0,,,,
28,19/04,174.0,,,,
29,20/04,181.0,,,,
30,21/04,181.0,,,,
31,22/04,205.0,,,,
32,23/04,220.0,,,,
33,24/04,241.0,,,,
34,25/04,246.0,,,,
35,26/04,249.0,,,,
36,27/04,256.0,,,,
0,28/04,313.108651778857,303.971691404449,322.245612153264,299.13487675217704,327.082426805536
1,29/04,324.217303557713,310.423765719369,338.010841396058,303.12190785972,345.31269925570604
2,30/04,335.32595533657,317.348321950072,353.303588723068,307.831537700844,362.820372972296
3,01/05,346.43460711542605,324.408548192771,368.460666038081,312.74865692003505,380.120557310818
4,02/05,357.543258894283,331.48601473668,383.600503051886,317.692142904607,397.39437488395896
5,03/05,368.65191067314,338.526244124668,398.777577221611,322.578679573636,414.725141772643
