,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,12/03,6.0,,,,
2,13/03,6.0,,,,
3,16/03,6.0,,,,
4,17/03,12.0,,,,
5,18/03,14.0,,,,
6,19/03,23.0,,,,
7,20/03,36.0,,,,
8,21/03,43.0,,,,
9,22/03,54.0,,,,
10,23/03,60.0,,,,
11,24/03,70.0,,,,
12,25/03,97.0,,,,
13,26/03,106.0,,,,
14,27/03,125.0,,,,
15,28/03,137.0,,,,
16,29/03,152.0,,,,
17,30/03,160.0,,,,
18,31/03,185.0,,,,
19,01/04,229.0,,,,
20,02/04,258.0,,,,
21,03/04,307.0,,,,
22,04/04,401.0,,,,
23,05/04,445.0,,,,
24,06/04,466.0,,,,
25,07/04,511.0,,,,
26,08/04,550.0,,,,
27,09/04,621.0,,,,
28,10/04,655.0,,,,
29,11/04,688.0,,,,
30,12/04,750.0,,,,
31,13/04,768.0,,,,
32,14/04,803.0,,,,
33,15/04,816.0,,,,
34,16/04,845.0,,,,
35,17/04,887.0,,,,
36,18/04,960.0,,,,
37,19/04,1002.0,,,,
38,20/04,1022.0,,,,
39,21/04,1039.0,,,,
40,22/04,1077.0,,,,
41,23/04,1096.0,,,,
42,24/04,1133.0,,,,
43,25/04,1155.0,,,,
44,26/04,1171.0,,,,
45,27/04,1201.0,,,,
46,28/04,1286.0,,,,
0,29/04,1475.30720033206,1450.22370647569,1500.39069418844,1436.94530691575,1513.6690937483802
1,30/04,1526.7070752448,1480.9015698914402,1572.51258059817,1456.65360006677,1596.76055042284
2,01/05,1578.10695015754,1513.4204154878698,1642.79348482721,1479.1774324963599,1677.03646781871
3,02/05,1629.5068250702802,1545.8660689605701,1713.14758117998,1501.58932723236,1757.42432290819
4,03/05,1680.90669998301,1577.7543207392002,1784.0590792268201,1523.14874964134,1838.66465032469
5,04/05,1732.3065748957501,1608.91190876866,1855.70124102284,1543.5907182765302,1921.0224315149699
