,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,20/03,1.0,,,,
2,21/03,3.0,,,,
3,22/03,3.0,,,,
4,24/03,5.0,,,,
5,25/03,5.0,,,,
6,26/03,6.0,,,,
7,27/03,6.0,,,,
8,28/03,6.0,,,,
9,29/03,6.0,,,,
10,30/03,8.0,,,,
11,31/03,9.0,,,,
12,01/04,9.0,,,,
13,02/04,10.0,,,,
14,03/04,10.0,,,,
15,04/04,11.0,,,,
16,05/04,14.0,,,,
17,06/04,18.0,,,,
18,07/04,23.0,,,,
19,08/04,26.0,,,,
20,09/04,28.0,,,,
21,10/04,32.0,,,,
22,11/04,34.0,,,,
23,12/04,42.0,,,,
24,14/04,69.0,,,,
25,15/04,73.0,,,,
26,16/04,92.0,,,,
27,17/04,110.0,,,,
28,18/04,128.0,,,,
29,19/04,160.0,,,,
30,20/04,199.0,,,,
31,21/04,223.0,,,,
32,23/04,250.0,,,,
33,24/04,290.0,,,,
34,25/04,328.0,,,,
35,26/04,364.0,,,,
36,27/04,393.0,,,,
0,28/04,544.458411007389,531.411620135651,557.505201879128,524.505066241612,564.411755773167
1,29/04,586.916822014779,564.434201340429,609.399442689128,552.532620875689,621.301023153869
2,30/04,629.375233022168,596.799975907834,661.950490136502,579.5556764410829,679.1947896032531
3,01/05,671.833644029557,628.328987748382,715.3383003107331,605.2990138489421,738.368274210173
4,02/05,714.292055036947,659.016469163263,769.567640910631,629.755341533161,798.828768540732
5,03/05,756.7504660443359,688.8921420322459,824.608790056427,652.970115186251,860.530816902421
