,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,14/03,1,,,,
2,16/03,5,,,,
3,18/03,6,,,,
4,20/03,7,,,,
5,21/03,10,,,,
6,24/03,15,,,,
7,25/03,16,,,,
8,27/03,16,,,,
9,30/03,18,,,,
10,31/03,19,,,,
11,01/04,22,,,,
12,02/04,24,,,,
13,03/04,27,,,,
14,04/04,32,,,,
15,06/04,32,,,,
16,07/04,36,,,,
17,08/04,39,,,,
18,09/04,40,,,,
19,10/04,42,,,,
20,11/04,44,,,,
21,13/04,45,,,,
22,14/04,46,,,,
23,15/04,48,,,,
24,16/04,53,,,,
25,17/04,58,,,,
26,18/04,71,,,,
33,25/04,154,,,,
34,26/04,175,,,,
35,27/04,211,,,,
36,28/04,280,,,,
0,19/04,349,337.04850336611304,360.951496633887,330.721763217685,367.278236782315
1,20/04,418,391.275641093768,444.724358906232,377.128620045906,458.871379954094
2,21/04,487,442.281594336811,531.7184056631891,418.609100326247,555.390899673753
3,22/04,556,490.538956976728,621.461043023272,455.885974029053,656.1140259709471
4,23/04,625,536.3653287452349,713.6346712547651,489.44496802821703,760.555031971783
5,24/04,694,579.989988453321,808.0100115466789,519.636734005683,868.363265994317
