,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,25/02,1.0,,,,
2,26/02,1.0,,,,
3,27/02,1.0,,,,
4,28/02,2.0,,,,
5,29/02,2.0,,,,
6,01/03,2.0,,,,
7,02/03,2.0,,,,
8,03/03,2.0,,,,
9,04/03,3.0,,,,
10,05/03,6.0,,,,
11,06/03,10.0,,,,
12,07/03,13.0,,,,
13,08/03,16.0,,,,
14,09/03,16.0,,,,
15,10/03,19.0,,,,
16,11/03,30.0,,,,
17,12/03,46.0,,,,
18,14/03,65.0,,,,
19,16/03,152.0,,,,
20,17/03,164.0,,,,
21,18/03,240.0,,,,
22,19/03,286.0,,,,
23,20/03,396.0,,,,
24,21/03,396.0,,,,
25,22/03,631.0,,,,
26,23/03,745.0,,,,
27,24/03,810.0,,,,
28,25/03,862.0,,,,
29,26/03,1052.0,,,,
30,27/03,1223.0,,,,
31,28/03,1406.0,,,,
32,29/03,1451.0,,,,
33,30/03,1517.0,,,,
34,31/03,2339.0,,,,
35,01/04,2981.0,,,,
36,02/04,3506.0,,,,
37,03/04,4048.0,,,,
38,04/04,4466.0,,,,
39,05/04,4620.0,,,,
40,06/04,4866.0,,,,
41,07/04,5682.0,,,,
42,08/04,6708.0,,,,
43,09/04,7480.0,,,,
44,10/04,8216.0,,,,
45,11/04,8419.0,,,,
46,12/04,8755.0,,,,
47,13/04,8895.0,,,,
48,14/04,9371.0,,,,
49,15/04,11043.0,,,,
50,16/04,11568.0,,,,
51,17/04,12841.0,,,,
52,18/04,13894.0,,,,
53,19/04,14267.0,,,,
54,20/04,14580.0,,,,
55,21/04,15385.0,,,,
56,22/04,15914.0,,,,
57,23/04,16740.0,,,,
58,24/04,17826.0,,,,
59,25/04,20004.0,,,,
60,26/04,20715.0,,,,
61,27/04,21696.0,,,,
62,28/04,24041.0,,,,
0,29/04,30884.0905358956,30380.893163066,31387.2879087251,30114.5165644869,31653.6645073042
1,30/04,33070.1810717911,32176.2364369222,33964.12570666,31703.010732631697,34437.3514109505
2,01/05,35256.2716076867,33933.8224556544,36578.720759718904,33233.7601621427,37278.7830532306
3,02/05,37442.3621435822,35649.7396619458,39234.984625218596,34700.7826423383,40183.9416448262
4,03/05,39628.4526794778,37325.391383457005,41931.5139754986,36106.2243776687,43150.680981286896
5,04/05,41814.5432153733,38962.9220638985,44666.16436684821,37453.3650117727,46175.721418974004
