dt_notificacao,acumulado_confirmados
2020-03-20,1
2020-03-21,1
2020-03-22,1
2020-03-23,1
2020-03-24,1
2020-03-25,2
2020-03-26,2
2020-03-27,3
2020-03-28,4
2020-03-29,8
2020-03-30,8
2020-03-31,10
2020-04-01,11
2020-04-02,12
2020-04-03,19
2020-04-04,29
2020-04-05,32
2020-04-06,39
2020-04-07,51
2020-04-08,107
2020-04-09,110
2020-04-10,166
2020-04-11,193
2020-04-12,237
2020-04-13,244
2020-04-14,308
2020-04-15,342
2020-04-16,362
2020-04-17,375
2020-04-18,400
2020-04-19,416
2020-04-20,435
2020-04-21,466
2020-04-22,492
2020-04-23,555
2020-04-24,648
2020-04-25,689
2020-04-26,821
2020-04-27,842
2020-04-28,918
2020-04-29,1016
2020-04-30,1080
2020-05-01,1121
2020-05-02,1187
2020-05-03,1482
2020-05-04,1733
2020-05-05,1931
2020-05-06,2046
2020-05-07,2199
2020-05-08,2322
2020-05-09,2493
2020-05-10,2613
2020-05-11,2671
2020-05-12,2910
2020-05-13,3005
2020-05-14,3428
2020-05-15,3630
2020-05-16,3834
2020-05-17,3952
2020-05-18,4023
2020-05-19,4310
2020-05-20,4549
2020-05-21,5188
2020-05-22,5655
2020-05-23,5655
2020-05-24,6353
2020-05-25,6584
2020-05-26,6967
2020-05-27,7619
2020-05-28,8152
2020-05-29,8469
2020-05-30,9313
2020-05-31,9602
2020-06-01,9890
2020-06-02,10511
2020-06-03,11107
2020-06-04,11551
2020-06-05,12327
2020-06-06,12773
2020-06-07,13045
2020-06-08,13294
2020-06-09,13771
2020-06-10,14623
2020-06-11,15166
2020-06-12,15683
2020-06-13,16322
2020-06-14,16512
2020-06-15,16813
2020-06-16,18024
2020-06-17,18618
2020-06-18,19387
2020-06-19,19922
2020-06-20,21574
2020-06-21,21840
2020-06-22,24862
2020-06-23,26437
2020-06-24,26919
2020-06-25,27415
2020-06-26,27662
2020-06-27,27901
2020-06-28,27985
2020-06-29,28253
2020-06-30,28492
2020-07-01,28927
2020-07-02,29153
2020-07-03,29574
2020-07-04,29809
2020-07-05,29883
2020-07-06,30004
2020-07-07,30294
2020-07-08,30524
2020-07-09,30763
