dt_notificacao,acumulado_confirmados
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,2.0
2020-03-06,2.0
2020-03-07,3.0
2020-03-08,3.0
2020-03-09,3.0
2020-03-10,3.0
2020-03-11,3.0
2020-03-12,8.0
2020-03-13,13.0
2020-03-14,14.0
2020-03-15,20.0
2020-03-16,25.0
2020-03-17,28.0
2020-03-18,30.0
2020-03-19,31.0
2020-03-20,33.0
2020-03-21,33.0
2020-03-22,35.0
2020-03-23,39.0
2020-03-24,42.0
2020-03-25,45.0
2020-03-26,54.0
2020-03-27,70.0
2020-03-28,79.0
2020-03-29,92.0
2020-03-30,111.0
2020-03-31,134.0
2020-04-01,144.0
2020-04-02,170.0
2020-04-03,217.0
2020-04-04,249.0
2020-04-05,273.0
2020-04-06,360.0
2020-04-07,444.0
2020-04-08,529.0
2020-04-09,589.0
2020-04-10,651.0
2020-04-11,667.0
2020-04-12,673.0
