,date,state,city,confirmed,deaths,is_last,estimated_population_2019,confirmed_per_100k_inhabitants
1209,2020-05-14,PE,Abreu e Lima,153,13,True,99990.0,153.0153
1210,2020-05-14,PE,Afogados da Ingazeira,5,0,True,37259.0,13.419579999999998
1211,2020-05-14,PE,Afrânio,1,0,True,19635.0,5.09295
1212,2020-05-14,PE,Agrestina,4,3,True,24885.0,16.07394
1213,2020-05-14,PE,Água Preta,25,5,True,36771.0,67.98836
1214,2020-05-14,PE,Águas Belas,20,0,True,43443.0,46.03734
1215,2020-05-14,PE,Alagoinha,2,0,True,14636.0,13.66494
1216,2020-05-14,PE,Aliança,25,9,True,38386.0,65.12791
1217,2020-05-14,PE,Altinho,5,0,True,22972.0,21.765629999999998
1218,2020-05-14,PE,Amaraji,16,4,True,22829.0,70.08629
1219,2020-05-14,PE,Araçoiaba,10,2,True,20524.0,48.72345
1220,2020-05-14,PE,Araripina,15,0,True,84418.0,17.768720000000002
1221,2020-05-14,PE,Arcoverde,34,7,True,74338.0,45.73704
1222,2020-05-14,PE,Barra de Guabiraba,4,1,True,14385.0,27.80674
1223,2020-05-14,PE,Barreiros,14,1,True,42659.0,32.8184
1224,2020-05-14,PE,Belém de Maria,0,0,True,12073.0,
1225,2020-05-14,PE,Belo Jardim,14,1,True,76439.0,18.315260000000002
1226,2020-05-14,PE,Betânia,4,1,True,12719.0,31.449009999999998
1227,2020-05-14,PE,Bezerros,17,1,True,60798.0,27.96145
1228,2020-05-14,PE,Bodocó,0,0,True,38146.0,
1229,2020-05-14,PE,Bom Conselho,6,1,True,48554.0,12.357380000000001
1230,2020-05-14,PE,Bom Jardim,17,6,True,39184.0,43.385059999999996
1231,2020-05-14,PE,Bonito,10,3,True,38134.0,26.22332
1232,2020-05-14,PE,Brejo da Madre de Deus,2,0,True,50742.0,3.94151
1233,2020-05-14,PE,Buenos Aires,3,1,True,13155.0,22.805020000000003
1234,2020-05-14,PE,Buíque,3,0,True,58378.0,5.13892
1235,2020-05-14,PE,Cabo de Santo Agostinho,244,42,True,207048.0,117.84707
1236,2020-05-14,PE,Cabrobó,1,0,True,34221.0,2.92218
1237,2020-05-14,PE,Cachoeirinha,13,0,True,20380.0,63.788030000000006
1238,2020-05-14,PE,Caetés,9,0,True,28739.0,31.316329999999997
1239,2020-05-14,PE,Camaragibe,463,32,True,157828.0,293.35733
1240,2020-05-14,PE,Camocim de São Félix,6,0,True,18765.0,31.974420000000002
1241,2020-05-14,PE,Camutanga,3,1,True,8551.0,35.08362
1242,2020-05-14,PE,Canhotinho,1,0,True,24804.0,4.03161
1243,2020-05-14,PE,Capoeiras,3,1,True,20048.0,14.964089999999999
1244,2020-05-14,PE,Carnaíba,5,4,True,19551.0,25.57414
1245,2020-05-14,PE,Carnaubeira da Penha,2,1,True,12932.0,15.46551
1246,2020-05-14,PE,Carpina,32,8,True,83641.0,38.25875
1247,2020-05-14,PE,Caruaru,85,10,True,361118.0,23.53801
1248,2020-05-14,PE,Catende,13,5,True,42892.0,30.30868
1249,2020-05-14,PE,Cedro,1,0,True,11807.0,8.46955
1250,2020-05-14,PE,Chã de Alegria,25,1,True,13518.0,184.9386
1251,2020-05-14,PE,Chã Grande,37,3,True,21698.0,170.52263
1252,2020-05-14,PE,Condado,20,2,True,26421.0,75.69736
1253,2020-05-14,PE,Correntes,2,1,True,18207.0,10.98479
1254,2020-05-14,PE,Cortês,11,1,True,12578.0,87.45429
1255,2020-05-14,PE,Cumaru,10,0,True,10906.0,91.69265
1256,2020-05-14,PE,Cupira,5,1,True,24107.0,20.74086
1257,2020-05-14,PE,Custódia,17,2,True,37111.0,45.80852
1258,2020-05-14,PE,Escada,39,5,True,68875.0,56.62432
1259,2020-05-14,PE,Feira Nova,16,5,True,22131.0,72.29678
1260,2020-05-14,PE,Fernando de Noronha,28,0,True,3061.0,914.73375
1261,2020-05-14,PE,Ferreiros,15,4,True,12123.0,123.73175
1262,2020-05-14,PE,Flores,0,0,True,22624.0,
1263,2020-05-14,PE,Floresta,4,2,True,32873.0,12.16804
1264,2020-05-14,PE,Frei Miguelinho,17,3,True,15457.0,109.98253000000001
1265,2020-05-14,PE,Gameleira,8,2,True,31052.0,25.76324
1266,2020-05-14,PE,Garanhuns,45,4,True,139788.0,32.1916
1267,2020-05-14,PE,Glória do Goitá,30,10,True,30604.0,98.0264
1268,2020-05-14,PE,Goiana,87,11,True,79758.0,109.07996999999999
1269,2020-05-14,PE,Granito,1,0,True,7486.0,13.358270000000001
1270,2020-05-14,PE,Gravatá,31,3,True,84074.0,36.872279999999996
1271,2020-05-14,PE,Ibimirim,10,4,True,29235.0,34.20558
1272,2020-05-14,PE,Ibirajuba,1,0,True,7762.0,12.883280000000001
1273,2020-05-14,PE,Igarassu,149,22,True,117019.0,127.32975
1274,2020-05-14,PE,Iguaracy,3,0,True,12228.0,24.53386
1275,2020-05-14,PE,Ilha de Itamaracá,26,0,True,26258.0,99.01744000000001
1276,2020-05-14,PE,Importados/Indefinidos,26,3,True,,
1277,2020-05-14,PE,Inajá,1,0,True,23247.0,4.30163
1278,2020-05-14,PE,Ipojuca,85,8,True,96204.0,88.35391
1279,2020-05-14,PE,Ipubi,10,1,True,30854.0,32.410709999999995
1280,2020-05-14,PE,Itaíba,1,0,True,26349.0,3.79521
1281,2020-05-14,PE,Itambé,11,1,True,36447.0,30.180809999999997
1282,2020-05-14,PE,Itapetim,3,1,True,13616.0,22.0329
1283,2020-05-14,PE,Itapissuma,29,5,True,26651.0,108.81393
1284,2020-05-14,PE,Itaquitinga,10,3,True,16955.0,58.97965
1285,2020-05-14,PE,Jaboatão dos Guararapes,1387,139,True,702298.0,197.49451000000002
1286,2020-05-14,PE,Jaqueira,11,2,True,11656.0,94.37200000000001
1287,2020-05-14,PE,Jataúba,9,1,True,17150.0,52.47813000000001
1288,2020-05-14,PE,Jatobá,2,0,True,14796.0,13.517170000000002
1289,2020-05-14,PE,João Alfredo,17,0,True,33822.0,50.26314
1290,2020-05-14,PE,Joaquim Nabuco,3,1,True,16023.0,18.72309
1291,2020-05-14,PE,Jucati,3,0,True,11424.0,26.2605
1292,2020-05-14,PE,Jupi,2,1,True,14836.0,13.480720000000002
1293,2020-05-14,PE,Jurema,8,0,True,15378.0,52.02237
1294,2020-05-14,PE,Lagoa de Itaenga,7,2,True,21429.0,32.66601
1295,2020-05-14,PE,Lagoa do Carro,22,2,True,18071.0,121.74202
1296,2020-05-14,PE,Lagoa do Ouro,1,0,True,13145.0,7.6074600000000006
1297,2020-05-14,PE,Lagoa dos Gatos,3,2,True,16290.0,18.41621
1298,2020-05-14,PE,Lajedo,5,1,True,40288.0,12.410639999999999
