"","dt_notificacao","acumulado_confirmados"
"1","2020-02-13",0
"2","2020-02-14",0
"3","2020-02-15",0
"4","2020-02-16",0
"5","2020-02-17",0
"6","2020-02-18",0
"7","2020-02-19",0
"8","2020-02-20",0
"9","2020-02-21",0
"10","2020-02-22",0
"11","2020-02-23",0
"12","2020-02-24",0
"13","2020-02-25",0
"14","2020-02-26",0
"15","2020-02-27",0
"16","2020-02-28",0
"17","2020-02-29",0
"18","2020-03-01",0
"19","2020-03-02",0
"20","2020-03-03",0
"21","2020-03-04",0
"22","2020-03-05",2
"23","2020-03-06",2
"24","2020-03-07",3
"25","2020-03-08",3
"26","2020-03-09",3
"27","2020-03-10",3
"28","2020-03-11",3
"29","2020-03-12",8
"30","2020-03-13",13
"31","2020-03-14",14
"32","2020-03-15",20
"33","2020-03-16",25
"34","2020-03-17",28
"35","2020-03-18",30
"36","2020-03-19",31
"37","2020-03-20",33
"38","2020-03-21",33
"39","2020-03-22",35
"40","2020-03-23",39
"41","2020-03-24",42
"42","2020-03-25",45
"43","2020-03-26",54
"44","2020-03-27",70
"45","2020-03-28",79
"46","2020-03-29",92
"47","2020-03-30",111
"48","2020-03-31",134
"49","2020-04-01",144
"50","2020-04-02",170
"51","2020-04-03",217
"52","2020-04-04",249
"53","2020-04-05",273
"54","2020-04-06",360
"55","2020-04-07",444
"56","2020-04-08",529
"57","2020-04-09",589
"58","2020-04-10",651
"59","2020-04-11",667
"60","2020-04-12",673
