,date,state,confirmed,deaths,is_last,estimated_population_2019,confirmed_per_100k_inhabitants
0,2020-05-15,TO,1279,27,False,1572866.0,81.31653
1,2020-05-14,TO,1179,24,False,1572866.0,74.95871
2,2020-05-13,TO,1029,23,False,1572866.0,65.42197
3,2020-05-12,TO,932,21,False,1572866.0,59.25489
4,2020-05-11,TO,828,14,False,1572866.0,52.642759999999996
5,2020-05-10,TO,747,12,False,1572866.0,47.49292
6,2020-05-09,TO,688,11,False,1572866.0,43.74181
7,2020-05-08,TO,572,9,False,1572866.0,36.36673
8,2020-05-07,TO,494,9,False,1572866.0,31.407629999999997
9,2020-05-06,TO,423,9,False,1572866.0,26.89358
10,2020-05-05,TO,351,9,False,1572866.0,22.31595
11,2020-05-04,TO,303,7,False,1572866.0,19.2642
12,2020-05-03,TO,267,6,False,1572866.0,16.975379999999998
13,2020-05-02,TO,246,4,False,1572866.0,15.640239999999999
14,2020-05-01,TO,191,4,False,1572866.0,12.14344
15,2020-04-30,TO,164,3,False,1572866.0,10.42683
16,2020-04-29,TO,137,3,False,1572866.0,8.71021
17,2020-04-28,TO,116,2,False,1572866.0,7.37507
18,2020-04-27,TO,79,2,False,1572866.0,5.02268
19,2020-04-26,TO,67,2,False,1572866.0,4.25974
20,2020-04-25,TO,58,2,False,1572866.0,3.6875400000000003
21,2020-04-24,TO,50,2,False,1572866.0,3.1789099999999997
22,2020-04-23,TO,43,2,False,1572866.0,2.73386
23,2020-04-22,TO,37,2,False,1572866.0,2.35239
24,2020-04-21,TO,36,2,False,1572866.0,2.28882
25,2020-04-20,TO,35,2,False,1572866.0,2.2252400000000003
26,2020-04-19,TO,34,1,False,1572866.0,2.16166
27,2020-04-18,TO,33,1,False,1572866.0,2.09808
28,2020-04-17,TO,32,1,False,1572866.0,2.0345
29,2020-04-16,TO,31,1,False,1572866.0,1.97092
30,2020-04-15,TO,29,1,False,1572866.0,1.8437700000000001
31,2020-04-14,TO,27,0,False,1572866.0,1.7166099999999997
32,2020-04-13,TO,26,0,False,1572866.0,1.65303
33,2020-04-12,TO,26,0,False,1572866.0,1.65303
34,2020-04-11,TO,25,0,False,1572866.0,1.58946
35,2020-04-10,TO,23,0,False,1572866.0,1.4623
36,2020-04-09,TO,23,0,False,1572866.0,1.4623
37,2020-04-08,TO,23,0,False,1572866.0,1.4623
38,2020-04-07,TO,19,0,False,1572866.0,1.20799
39,2020-04-06,TO,19,0,False,1572866.0,1.20799
40,2020-04-05,TO,17,0,False,1572866.0,1.08083
41,2020-04-04,TO,16,0,False,1572866.0,1.01725
42,2020-04-03,TO,13,0,False,1572866.0,0.82652
43,2020-04-02,TO,12,0,False,1572866.0,0.76294
44,2020-04-01,TO,12,0,False,1572866.0,0.76294
45,2020-03-31,TO,12,0,False,1572866.0,0.76294
46,2020-03-30,TO,11,0,False,1572866.0,0.69936
47,2020-03-29,TO,10,0,False,1572866.0,0.63578
48,2020-03-28,TO,9,0,False,1572866.0,0.5722
49,2020-03-27,TO,9,0,False,1572866.0,0.5722
50,2020-03-26,TO,8,0,False,1572866.0,0.50863
51,2020-03-25,TO,7,0,False,1572866.0,0.44505
52,2020-03-24,TO,7,0,False,1572866.0,0.44505
53,2020-03-23,TO,7,0,False,1572866.0,0.44505
54,2020-03-22,TO,5,0,False,1572866.0,0.31789
55,2020-03-21,TO,2,0,False,1572866.0,0.12716
56,2020-03-20,TO,1,0,False,1572866.0,0.06358
57,2020-03-19,TO,1,0,False,1572866.0,0.06358
58,2020-03-18,TO,1,0,False,1572866.0,0.06358
59,2020-05-16,SP,61183,4688,False,45919049.0,133.241
60,2020-05-15,SP,58378,4501,False,45919049.0,127.13242
61,2020-05-14,SP,54286,4315,False,45919049.0,118.22108999999999
62,2020-05-13,SP,51097,4118,False,45919049.0,111.27626000000001
63,2020-05-12,SP,47719,3949,False,45919049.0,103.91984000000001
64,2020-05-11,SP,46131,3743,False,45919049.0,100.46158
65,2020-05-10,SP,45444,3709,False,45919049.0,98.96546
