date,deaths
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,1
2020-03-18,3
2020-03-19,7
2020-03-20,11
2020-03-21,18
2020-03-22,25
2020-03-23,34
2020-03-24,47
2020-03-25,59
2020-03-26,77
2020-03-27,93
2020-03-28,115
2020-03-29,137
2020-03-30,166
2020-03-31,202
2020-04-01,244
2020-04-02,305
2020-04-03,365
2020-04-04,445
2020-04-05,496
2020-04-06,569
2020-04-07,691
2020-04-08,826
2020-04-09,959
2020-04-10,1073
2020-04-11,1141
2020-04-12,1237
2020-04-13,1350
2020-04-14,1557
2020-04-15,1760
2020-04-16,1962
2020-04-17,2173
2020-04-18,2375
2020-04-19,2491
2020-04-20,2598
2020-04-21,2772
2020-04-22,2940
2020-04-23,3349
2020-04-24,3722
2020-04-25,4074
2020-04-26,4301
2020-04-27,4606
2020-04-28,5092
2020-04-29,5534
2020-04-30,5980
2020-05-01,6438
2020-05-02,6808
2020-05-03,7073
2020-05-04,7381
2020-05-05,7972
2020-05-06,8597
2020-05-07,9273
2020-05-08,10027
2020-05-09,10695
