dt_notificacao,acumulado_confirmados
2020-03-08,1
2020-03-09,1
2020-03-10,1
2020-03-11,1
2020-03-12,2
2020-03-13,2
2020-03-14,4
2020-03-15,4
2020-03-16,6
2020-03-17,14
2020-03-18,19
2020-03-19,29
2020-03-20,38
2020-03-21,55
2020-03-22,83
2020-03-23,128
2020-03-24,130
2020-03-25,133
2020-03-26,153
2020-03-27,189
2020-03-28,205
2020-03-29,231
2020-03-30,261
2020-03-31,275
2020-04-01,314
2020-04-02,370
2020-04-03,397
2020-04-04,430
2020-04-05,498
2020-04-06,525
2020-04-07,559
2020-04-08,614
2020-04-09,655
2020-04-10,698
2020-04-11,750
2020-04-12,806
2020-04-13,815
2020-04-14,884
2020-04-15,903
2020-04-16,958
2020-04-17,1021
2020-04-18,1077
2020-04-19,1154
2020-04-20,1189
2020-04-21,1230
2020-04-22,1283
2020-04-23,1308
2020-04-24,1419
2020-04-25,1481
2020-04-26,1548
2020-04-27,1586
2020-04-28,1649
2020-04-29,1758
2020-04-30,1827
2020-05-01,1935
