dt_notificacao,acumulado_confirmados
2020-03-18,1
2020-03-19,1
2020-03-20,2
2020-03-21,2
2020-03-22,4
2020-03-23,5
2020-03-24,5
2020-03-25,7
2020-03-26,13
2020-03-27,16
2020-03-28,18
2020-03-29,20
2020-03-30,26
2020-03-31,34
2020-04-01,41
2020-04-02,49
2020-04-03,75
2020-04-04,82
2020-04-05,86
2020-04-06,123
2020-04-07,154
2020-04-08,165
2020-04-09,169
2020-04-10,217
2020-04-11,237
2020-04-12,259
2020-04-13,310
2020-04-14,384
2020-04-15,487
2020-04-16,557
2020-04-17,627
2020-04-18,641
2020-04-19,685
2020-04-20,902
2020-04-21,1026
2020-04-22,1195
2020-04-23,1267
2020-04-24,1579
2020-04-25,1745
2020-04-26,2070
2020-04-27,2219
2020-04-28,2319
2020-04-29,2586
2020-04-30,2999
2020-05-01,3359
2020-05-02,3727
