dt_notificacao,acumulado_confirmados
2020-03-12,2
2020-03-13,3
2020-03-14,5
2020-03-15,6
2020-03-16,7
2020-03-17,7
2020-03-18,14
2020-03-19,21
2020-03-20,40
2020-03-21,57
2020-03-22,68
2020-03-23,86
2020-03-24,109
2020-03-25,122
2020-03-26,149
2020-03-27,163
2020-03-28,184
2020-03-29,197
2020-03-30,219
2020-03-31,235
2020-04-01,247
2020-04-02,281
2020-04-03,301
2020-04-04,356
2020-04-05,379
2020-04-06,417
2020-04-07,457
2020-04-08,501
2020-04-09,693
2020-04-10,717
2020-04-11,732
2020-04-12,776
2020-04-13,826
2020-04-14,853
2020-04-15,884
2020-04-16,926
2020-04-17,962
2020-04-18,975
2020-04-19,1025
2020-04-20,1063
2020-04-21,1091
2020-04-22,1115
2020-04-23,1170
2020-04-24,1209
2020-04-25,1235
2020-04-26,1337
2020-04-27,1476
2020-04-28,1995
2020-04-29,2085
2020-04-30,2394
2020-05-01,2104
2020-05-02,2346
