dt_notificacao,acumulado_confirmados
2020-03-05,1
2020-03-06,2
2020-03-07,2
2020-03-08,3
2020-03-09,3
2020-03-10,3
2020-03-11,3
2020-03-12,15
2020-03-13,15
2020-03-14,15
2020-03-15,24
2020-03-16,25
2020-03-17,25
2020-03-18,63
2020-03-19,66
2020-03-20,66
2020-03-21,119
2020-03-22,186
2020-03-23,233
2020-03-24,305
2020-03-25,370
2020-03-26,421
2020-03-27,493
2020-03-28,558
2020-03-29,600
2020-03-30,657
2020-03-31,708
2020-04-01,832
2020-04-02,992
2020-04-03,1074
2020-04-04,1246
2020-04-05,1394
2020-04-06,1461
2020-04-07,1688
2020-04-08,1938
2020-04-09,2216
2020-04-10,2464
2020-04-11,2607
2020-04-12,2855
2020-04-13,3221
2020-04-14,3410
2020-04-15,3743
2020-04-16,3944
2020-04-17,4349
2020-04-18,4543
2020-04-19,4675
2020-04-20,4899
2020-04-21,5306
2020-04-22,5552
2020-04-23,6172
2020-04-24,6282
2020-04-25,6828
2020-04-26,7111
2020-04-27,7944
2020-04-28,8504
2020-04-29,8869
2020-04-30,9453
2020-05-01,10166
2020-05-02,10546
2020-05-03,11139
2020-05-04,11721
