dt_notificacao,acumulado_confirmados
2020-03-05,1
2020-03-06,1
2020-03-07,1
2020-03-08,1
2020-03-09,1
2020-03-10,1
2020-03-11,1
2020-03-12,2
2020-03-13,2
2020-03-14,4
2020-03-15,4
2020-03-16,8
2020-03-17,8
2020-03-18,11
2020-03-19,13
2020-03-20,16
2020-03-21,26
2020-03-22,26
2020-03-23,33
2020-03-24,40
2020-03-25,40
2020-03-26,48
2020-03-27,54
2020-03-28,61
2020-03-29,72
2020-03-30,85
2020-03-31,97
2020-04-01,120
2020-04-02,139
2020-04-03,153
2020-04-04,166
2020-04-05,194
2020-04-06,209
2020-04-07,227
2020-04-08,273
2020-04-09,300
2020-04-10,349
2020-04-11,383
2020-04-12,430
2020-04-13,463
2020-04-14,557
2020-04-15,734
2020-04-16,935
2020-04-17,952
2020-04-18,1099
2020-04-19,1195
2020-04-20,1212
2020-04-21,1313
2020-04-22,1351
2020-04-23,1453
2020-04-24,1665
2020-04-25,1711
2020-04-26,1819
2020-04-27,1944
2020-04-28,2164
2020-04-29,2538
2020-04-30,2688
2020-05-01,2913
2020-05-02,3104
2020-05-03,3208
2020-05-04,3351
2020-05-05,3540
