dt_notificacao,acumulado_confirmados
2020-03-14,2
2020-03-15,2
2020-03-16,4
2020-03-17,6
2020-03-18,7
2020-03-19,9
2020-03-20,12
2020-03-21,16
2020-03-22,21
2020-03-23,21
2020-03-24,24
2020-03-25,24
2020-03-26,25
2020-03-27,28
2020-03-28,31
2020-03-29,36
2020-03-30,44
2020-03-31,48
2020-04-01,51
2020-04-02,53
2020-04-03,60
2020-04-04,62
2020-04-05,65
2020-04-06,66
2020-04-07,80
2020-04-08,85
2020-04-09,89
2020-04-10,97
2020-04-11,100
2020-04-12,101
2020-04-13,113
2020-04-14,115
2020-04-15,121
2020-04-16,131
2020-04-17,143
2020-04-18,161
2020-04-19,168
2020-04-20,171
2020-04-21,173
2020-04-22,175
2020-04-23,186
2020-04-24,213
2020-04-25,217
2020-04-26,234
2020-04-27,238
2020-04-28,240
2020-04-29,249
2020-04-30,255
2020-05-01,261
2020-05-02,266
2020-05-03,272
2020-05-04,274
2020-05-05,283
