dt_notificacao,acumulado_confirmados
2020-03-21,2
2020-03-22,2
2020-03-23,2
2020-03-24,8
2020-03-25,8
2020-03-26,10
2020-03-27,12
2020-03-28,16
2020-03-29,16
2020-03-30,16
2020-03-31,16
2020-04-01,26
2020-04-02,30
2020-04-03,37
2020-04-04,42
2020-04-05,42
2020-04-06,42
2020-04-07,49
2020-04-08,52
2020-04-09,63
2020-04-10,75
2020-04-11,79
2020-04-12,83
2020-04-13,113
2020-04-14,114
2020-04-15,142
2020-04-16,164
2020-04-17,201
2020-04-18,222
2020-04-19,244
2020-04-20,247
2020-04-21,280
2020-04-22,297
2020-04-23,304
2020-04-24,345
2020-04-25,401
2020-04-26,407
2020-04-27,425
2020-04-28,425
2020-04-29,426
2020-04-30,519
2020-05-01,519
2020-05-02,519
2020-05-03,533
2020-05-04,578
2020-05-05,869
2020-05-06,932
