dt_notificacao,acumulado_confirmados
2020-03-17,3
2020-03-18,3
2020-03-19,4
2020-03-20,7
2020-03-21,11
2020-03-22,11
2020-03-23,17
2020-03-24,21
2020-03-25,23
2020-03-26,23
2020-03-27,25
2020-03-28,25
2020-03-29,34
2020-03-30,41
2020-03-31,42
2020-04-01,43
2020-04-02,45
2020-04-03,46
2020-04-04,46
2020-04-05,48
2020-04-06,50
2020-04-07,50
2020-04-08,58
2020-04-09,62
2020-04-10,70
2020-04-11,72
2020-04-12,77
2020-04-13,90
2020-04-14,99
2020-04-15,101
2020-04-16,115
2020-04-17,135
2020-04-18,142
2020-04-19,163
2020-04-20,176
2020-04-21,195
2020-04-22,214
2020-04-23,227
2020-04-24,234
2020-04-25,258
2020-04-26,279
2020-04-27,301
2020-04-28,317
2020-04-29,354
2020-04-30,404
2020-05-01,487
2020-05-02,553
2020-05-03,658
2020-05-04,733
2020-05-05,817
2020-05-06,943
2020-05-07,1014
2020-05-08,1177
