dt_notificacao,acumulado_confirmados
2020-03-16,9
2020-03-17,10
2020-03-18,19
2020-03-19,24
2020-03-20,68
2020-03-21,84
2020-03-22,125
2020-03-23,164
2020-03-24,185
2020-03-25,211
2020-03-26,237
2020-03-27,282
2020-03-28,322
2020-03-29,359
2020-03-30,382
2020-03-31,401
2020-04-01,445
2020-04-02,563
2020-04-03,658
2020-04-04,745
2020-04-05,960
2020-04-06,1045
2020-04-07,1188
2020-04-08,1394
2020-04-09,1445
2020-04-10,1558
2020-04-11,1668
2020-04-12,1747
2020-04-13,1935
2020-04-14,2070
2020-04-15,2291
2020-04-16,2412
2020-04-17,2747
2020-04-18,3062
2020-04-19,3306
2020-04-20,3485
2020-04-21,3682
2020-04-22,4116
2020-04-23,4702
2020-04-24,5121
2020-04-25,5667
2020-04-26,6260
2020-04-27,6783
2020-04-28,6985
2020-04-29,7409
2020-04-30,7861
2020-05-01,8000
2020-05-02,8309
2020-05-03,8379
2020-05-04,11040
2020-05-05,11470
2020-05-06,12310
2020-05-07,13888
2020-05-08,15134
