dt_notificacao,acumulado_confirmados
2020-03-13,2
2020-03-14,2
2020-03-15,2
2020-03-16,2
2020-03-17,2
2020-03-18,2
2020-03-19,3
2020-03-20,7
2020-03-21,11
2020-03-22,26
2020-03-23,32
2020-03-24,47
2020-03-25,54
2020-03-26,67
2020-03-27,81
2020-03-28,111
2020-03-29,140
2020-03-30,151
2020-03-31,175
2020-04-01,200
2020-04-02,229
2020-04-03,260
2020-04-04,311
2020-04-05,417
2020-04-06,532
2020-04-07,636
2020-04-08,804
2020-04-09,899
2020-04-10,981
2020-04-11,1049
2020-04-12,1206
2020-04-13,1275
2020-04-14,1484
2020-04-15,1554
2020-04-16,1719
2020-04-17,1809
2020-04-18,1897
2020-04-19,2044
2020-04-20,2160
2020-04-21,2270
2020-04-22,2479
2020-04-23,2888
2020-04-24,3194
2020-04-25,3635
2020-04-26,3833
2020-04-27,3928
2020-04-28,4337
2020-04-29,4801
2020-04-30,5254
2020-05-01,5723
2020-05-02,6062
2020-05-03,6683
2020-05-04,7313
2020-05-05,8109
2020-05-06,9243
2020-05-07,10099
2020-05-08,10727
2020-05-09,11925
2020-05-10,12599
