dt_notificacao,acumulado_confirmados
2020-03-10,1
2020-03-11,2
2020-03-12,4
2020-03-13,4
2020-03-14,4
2020-03-15,4
2020-03-16,8
2020-03-17,8
2020-03-18,19
2020-03-19,31
2020-03-20,43
2020-03-21,69
2020-03-22,77
2020-03-23,96
2020-03-24,112
2020-03-25,162
2020-03-26,190
2020-03-27,197
2020-03-28,200
2020-03-29,230
2020-03-30,254
2020-03-31,305
2020-04-01,316
2020-04-02,386
2020-04-03,410
2020-04-04,418
2020-04-05,468
2020-04-06,501
2020-04-07,555
2020-04-08,581
2020-04-09,636
2020-04-10,640
2020-04-11,653
2020-04-12,664
2020-04-13,685
2020-04-14,720
2020-04-15,762
2020-04-16,792
2020-04-17,831
2020-04-18,854
2020-04-19,869
2020-04-20,904
2020-04-21,918
2020-04-22,970
2020-04-23,1039
2020-04-24,1096
2020-04-25,1166
2020-04-26,1208
2020-04-27,1256
2020-04-28,1350
2020-04-29,1420
2020-04-30,1529
2020-05-01,1619
2020-05-02,1666
2020-05-03,1690
2020-05-04,1768
2020-05-05,2019
2020-05-06,2100
2020-05-07,2182
2020-05-08,2493
2020-05-09,2542
2020-05-10,2576
