dt_notificacao,acumulado_confirmados
2020-03-06,1
2020-03-07,2
2020-03-08,2
2020-03-09,2
2020-03-10,2
2020-03-11,3
2020-03-12,3
2020-03-13,7
2020-03-14,7
2020-03-15,9
2020-03-16,10
2020-03-17,14
2020-03-18,27
2020-03-19,31
2020-03-20,34
2020-03-21,41
2020-03-22,55
2020-03-23,63
2020-03-24,79
2020-03-25,91
2020-03-26,108
2020-03-27,123
2020-03-28,127
2020-03-29,156
2020-03-30,176
2020-03-31,217
2020-04-01,246
2020-04-02,267
2020-04-03,290
2020-04-04,336
2020-04-05,401
2020-04-06,437
2020-04-07,462
2020-04-08,515
2020-04-09,568
2020-04-10,616
2020-04-11,640
2020-04-12,674
2020-04-13,723
2020-04-14,776
2020-04-15,884
2020-04-16,967
2020-04-17,1064
2020-04-18,1200
2020-04-19,1249
2020-04-20,1377
2020-04-21,1504
2020-04-22,1645
2020-04-23,1845
2020-04-24,1979
2020-04-25,2116
2020-04-26,2248
2020-04-27,2356
2020-04-28,2564
2020-04-29,2676
2020-04-30,2867
2020-05-01,3140
2020-05-02,3315
2020-05-03,3566
2020-05-04,3734
2020-05-05,4040
2020-05-06,4301
2020-05-07,4528
2020-05-08,4818
2020-05-09,5174
2020-05-10,5558
2020-05-11,5808
