dt_notificacao,acumulado_confirmados
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,1
2020-03-19,1
2020-03-20,1
2020-03-21,1
2020-03-22,1
2020-03-23,2
2020-03-24,3
2020-03-25,5
2020-03-26,6
2020-03-27,10
2020-03-28,14
2020-03-29,14
2020-03-30,17
2020-03-31,18
2020-04-01,21
2020-04-02,29
2020-04-03,32
2020-04-04,34
2020-04-05,35
2020-04-06,36
2020-04-07,41
2020-04-08,55
2020-04-09,79
2020-04-10,85
2020-04-11,101
2020-04-12,111
2020-04-13,136
2020-04-14,152
2020-04-15,165
2020-04-16,195
2020-04-17,205
2020-04-18,236
2020-04-19,245
2020-04-20,263
2020-04-21,301
2020-04-22,345
2020-04-23,386
2020-04-24,447
2020-04-25,499
2020-04-26,543
2020-04-27,633
2020-04-28,698
2020-04-29,814
2020-04-30,926
2020-05-01,1034
2020-05-02,1169
2020-05-03,1219
2020-05-04,1361
2020-05-05,1493
2020-05-06,1657
2020-05-07,1849
2020-05-08,2030
2020-05-09,2156
2020-05-10,2341
2020-05-11,2525
