dt_notificacao,acumulado_confirmados
2020-03-18,1
2020-03-19,1
2020-03-20,1
2020-03-21,2
2020-03-22,5
2020-03-23,7
2020-03-24,7
2020-03-25,7
2020-03-26,8
2020-03-27,9
2020-03-28,9
2020-03-29,10
2020-03-30,11
2020-03-31,12
2020-04-01,12
2020-04-02,12
2020-04-03,13
2020-04-04,16
2020-04-05,17
2020-04-06,19
2020-04-07,19
2020-04-08,23
2020-04-09,23
2020-04-10,23
2020-04-11,25
2020-04-12,26
2020-04-13,26
2020-04-14,27
2020-04-15,29
2020-04-16,31
2020-04-17,32
2020-04-18,33
2020-04-19,34
2020-04-20,35
2020-04-21,36
2020-04-22,37
2020-04-23,43
2020-04-24,50
2020-04-25,58
2020-04-26,67
2020-04-27,79
2020-04-28,116
2020-04-29,137
2020-04-30,164
2020-05-01,191
2020-05-02,246
2020-05-03,267
2020-05-04,303
2020-05-05,351
2020-05-06,423
2020-05-07,494
2020-05-08,572
2020-05-09,688
2020-05-10,747
