dt_notificacao,acumulado_confirmados
2020-03-12,1
2020-03-13,1
2020-03-14,1
2020-03-15,1
2020-03-16,1
2020-03-17,1
2020-03-18,1
2020-03-19,1
2020-03-20,6
2020-03-21,9
2020-03-22,13
2020-03-23,13
2020-03-24,14
2020-03-25,14
2020-03-26,19
2020-03-27,28
2020-03-28,68
2020-03-29,68
2020-03-30,77
2020-03-31,82
2020-04-01,92
2020-04-02,106
2020-04-03,176
2020-04-04,215
2020-04-05,246
2020-04-06,246
2020-04-07,254
2020-04-08,261
2020-04-09,261
2020-04-10,263
2020-04-11,289
2020-04-12,339
2020-04-13,376
2020-04-14,399
2020-04-15,400
2020-04-16,463
2020-04-17,516
2020-04-18,561
2020-04-19,595
2020-04-20,608
2020-04-21,646
2020-04-22,708
2020-04-23,754
2020-04-24,781
2020-04-25,825
2020-04-26,832
2020-04-27,857
2020-04-28,1086
2020-04-29,1177
2020-04-30,1297
2020-05-01,1366
2020-05-02,1392
2020-05-03,1421
2020-05-04,1536
2020-05-05,1644
2020-05-06,1739
2020-05-07,1821
2020-05-08,1919
2020-05-09,1919
2020-05-10,1930
2020-05-11,2033
2020-05-12,2367
2020-05-13,2537
2020-05-14,2786
2020-05-15,2786
2020-05-16,3004
