dt_notificacao,acumulado_confirmados
2020-03-20,1
2020-03-21,2
2020-03-22,2
2020-03-23,8
2020-03-24,8
2020-03-25,8
2020-03-26,10
2020-03-27,13
2020-03-28,15
2020-03-29,21
2020-03-30,30
2020-03-31,51
2020-04-01,70
2020-04-02,80
2020-04-03,87
2020-04-04,95
2020-04-05,132
2020-04-06,171
2020-04-07,229
2020-04-08,272
2020-04-09,293
2020-04-10,344
2020-04-11,398
2020-04-12,445
2020-04-13,478
2020-04-14,630
2020-04-15,695
2020-04-16,797
2020-04-17,1040
2020-04-18,1205
2020-04-19,1320
2020-04-20,1396
2020-04-21,1604
2020-04-22,1757
2020-04-23,1951
2020-04-24,2105
2020-04-25,2223
2020-04-26,2410
2020-04-27,2528
2020-04-28,2804
2020-04-29,3190
2020-04-30,3506
2020-05-01,3805
2020-05-02,4040
2020-05-03,4227
2020-05-04,4530
2020-05-05,5028
2020-05-06,5389
2020-05-07,5909
2020-05-08,6765
2020-05-09,7599
2020-05-10,8144
2020-05-11,8526
2020-05-12,9112
2020-05-13,9801
2020-05-14,10739
2020-05-15,11592
2020-05-16,12492
2020-05-17,13238
2020-05-18,14198
2020-05-19,15114
2020-05-20,16058
2020-05-21,17212
2020-05-22,18767
2020-05-23,21191
2020-05-24,22786
2020-05-25,24278
