dt_notificacao,acumulado_mortes
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,1
2020-04-01,1
2020-04-02,1
2020-04-03,2
2020-04-04,2
2020-04-05,2
2020-04-06,2
2020-04-07,2
2020-04-08,3
2020-04-09,3
2020-04-10,3
2020-04-11,3
2020-04-12,3
2020-04-13,4
2020-04-14,4
2020-04-15,5
2020-04-16,5
2020-04-17,7
2020-04-18,10
2020-04-19,15
2020-04-20,18
2020-04-21,19
2020-04-22,20
2020-04-23,22
2020-04-24,27
2020-04-25,29
2020-04-26,32
2020-04-27,34
2020-04-28,36
2020-04-29,41
2020-04-30,47
2020-05-01,53
