dt_notificacao,acumulado_mortes
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,1
2020-04-05,1
2020-04-06,2
2020-04-07,2
2020-04-08,2
2020-04-09,2
2020-04-10,2
2020-04-11,5
2020-04-12,5
2020-04-13,6
2020-04-14,7
2020-04-15,7
2020-04-16,10
2020-04-17,10
2020-04-18,10
2020-04-19,11
2020-04-20,13
2020-04-21,13
2020-04-22,14
2020-04-23,16
2020-04-24,18
2020-04-25,20
2020-04-26,23
2020-04-27,26
2020-04-28,28
2020-04-29,31
2020-04-30,34
2020-05-01,37
2020-05-02,40
