dt_notificacao,acumulado_mortes
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,1
2020-03-29,1
2020-03-30,1
2020-03-31,1
2020-04-01,2
2020-04-02,2
2020-04-03,4
2020-04-04,6
2020-04-05,7
2020-04-06,7
2020-04-07,8
2020-04-08,11
2020-04-09,11
2020-04-10,11
2020-04-11,13
2020-04-12,17
2020-04-13,18
2020-04-14,19
2020-04-15,20
2020-04-16,23
2020-04-17,24
2020-04-18,26
2020-04-19,27
2020-04-20,28
2020-04-21,29
2020-04-22,34
2020-04-23,38
2020-04-24,40
2020-04-25,44
2020-04-26,45
2020-04-27,48
2020-04-28,54
2020-04-29,56
2020-04-30,56
2020-05-01,59
2020-05-02,61
