dt_notificacao,acumulado_mortes
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,2
2020-04-03,2
2020-04-04,3
2020-04-05,3
2020-04-06,4
2020-04-07,4
2020-04-08,4
2020-04-09,4
2020-04-10,4
2020-04-11,4
2020-04-12,4
2020-04-13,4
2020-04-14,4
2020-04-15,4
2020-04-16,4
2020-04-17,4
2020-04-18,5
2020-04-19,5
2020-04-20,5
2020-04-21,7
2020-04-22,7
2020-04-23,8
2020-04-24,8
2020-04-25,9
2020-04-26,9
2020-04-27,11
2020-04-28,11
2020-04-29,11
2020-04-30,14
2020-05-01,14
2020-05-02,14
2020-05-03,14
