dt_notificacao,acumulado_mortes
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,1
2020-03-31,1
2020-04-01,1
2020-04-02,1
2020-04-03,1
2020-04-04,1
2020-04-05,1
2020-04-06,1
2020-04-07,1
2020-04-08,1
2020-04-09,2
2020-04-10,2
2020-04-11,2
2020-04-12,2
2020-04-13,2
2020-04-14,2
2020-04-15,2
2020-04-16,3
2020-04-17,3
2020-04-18,4
2020-04-19,4
2020-04-20,4
2020-04-21,5
2020-04-22,5
2020-04-23,5
2020-04-24,6
2020-04-25,7
2020-04-26,10
2020-04-27,10
2020-04-28,11
2020-04-29,15
2020-04-30,16
2020-05-01,18
2020-05-02,23
2020-05-03,24
2020-05-04,25
