dt_notificacao,acumulado_mortes
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,1
2020-04-07,2
2020-04-08,2
2020-04-09,2
2020-04-10,2
2020-04-11,2
2020-04-12,2
2020-04-13,3
2020-04-14,3
2020-04-15,4
2020-04-16,5
2020-04-17,5
2020-04-18,6
2020-04-19,6
2020-04-20,8
2020-04-21,8
2020-04-22,8
2020-04-23,10
2020-04-24,11
2020-04-25,11
2020-04-26,11
2020-04-27,14
2020-04-28,16
2020-04-29,18
2020-04-30,19
2020-05-01,19
2020-05-02,22
2020-05-03,25
2020-05-04,28
2020-05-05,29
2020-05-06,35
