dt_notificacao,acumulado_mortes
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,1
2020-03-27,1
2020-03-28,1
2020-03-29,1
2020-03-30,2
2020-03-31,2
2020-04-01,2
2020-04-02,5
2020-04-03,5
2020-04-04,10
2020-04-05,10
2020-04-06,11
2020-04-07,15
2020-04-08,17
2020-04-09,18
2020-04-10,18
2020-04-11,21
2020-04-12,24
2020-04-13,26
2020-04-14,28
2020-04-15,29
2020-04-16,30
2020-04-17,31
2020-04-18,32
2020-04-19,35
2020-04-20,35
2020-04-21,37
2020-04-22,39
2020-04-23,42
2020-04-24,42
2020-04-25,42
2020-04-26,43
2020-04-27,44
2020-04-28,44
2020-04-29,46
2020-04-30,48
2020-05-01,50
2020-05-02,52
2020-05-03,52
2020-05-04,55
2020-05-05,58
2020-05-06,59
2020-05-07,63
2020-05-08,63
