dt_notificacao,acumulado_mortes
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,1
2020-03-25,1
2020-03-26,1
2020-03-27,1
2020-03-28,1
2020-03-29,1
2020-03-30,2
2020-03-31,3
2020-04-01,3
2020-04-02,3
2020-04-03,7
2020-04-04,12
2020-04-05,15
2020-04-06,19
2020-04-07,23
2020-04-08,30
2020-04-09,40
2020-04-10,50
2020-04-11,53
2020-04-12,62
2020-04-13,71
2020-04-14,90
2020-04-15,106
2020-04-16,124
2020-04-17,145
2020-04-18,161
2020-04-19,182
2020-04-20,185
2020-04-21,193
2020-04-22,206
2020-04-23,234
2020-04-24,255
2020-04-25,287
2020-04-26,304
2020-04-27,320
2020-04-28,351
2020-04-29,380
2020-04-30,425
2020-05-01,476
2020-05-02,501
2020-05-03,548
2020-05-04,585
2020-05-05,649
2020-05-06,751
2020-05-07,806
2020-05-08,874
2020-05-09,962
2020-05-10,1004
