dt_notificacao,acumulado_mortes
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,2
2020-03-28,2
2020-03-29,2
2020-03-30,3
2020-03-31,3
2020-04-01,3
2020-04-02,4
2020-04-03,5
2020-04-04,7
2020-04-05,10
2020-04-06,14
2020-04-07,15
2020-04-08,17
2020-04-09,24
2020-04-10,26
2020-04-11,27
2020-04-12,31
2020-04-13,33
2020-04-14,39
2020-04-15,41
2020-04-16,43
2020-04-17,44
2020-04-18,49
2020-04-19,52
2020-04-20,53
2020-04-21,55
2020-04-22,60
2020-04-23,62
2020-04-24,67
2020-04-25,71
2020-04-26,75
2020-04-27,77
2020-04-28,79
2020-04-29,84
2020-04-30,88
2020-05-01,92
2020-05-02,93
2020-05-03,96
2020-05-04,97
2020-05-05,102
2020-05-06,104
2020-05-07,107
2020-05-08,109
2020-05-09,110
2020-05-10,112
